SampleID	shannon	shannon_its1	Chamber	Soil	Wash	Genotype	Parentalline	Treatment	Fraction	Incubationtime	Timepoint	Replicate	Library	Climate_soil	Soil_wash_fraction	observed_otus	microbial_group	diversity	Microbe	Microbe_diversity	diversity_timepoint
29	4.331444784	2.838596289	Italian	Italian	Italian	Unplanted	None	Third	Soil	8weeks	8weeks	1	3	Italian_Italian	Italian_Italian_Soil	285	bacteria	repopulated	Italian	Italian_repopulated	repopulated_8weeks
33	5.279640365	3.259775665	Italian	Italian	None	Unplanted	None	First	Soil	8weeks	8weeks	1	3	Italian_Italian	Italian_None_Soil	402	bacteria	native	Italian	Italian_native	native_8weeks
110	4.214585506	3.22192506	Swedish	Swedish	Swedish	Unplanted	None	Fourth	Soil	8weeks	8weeks	1	3	Swedish_Swedish	Swedish_Swedish_Soil	236	bacteria	repopulated	Swedish	Swedish_repopulated	repopulated_8weeks
I.32S	6.111121298	3.781043033	Italian	Italian	None	Italian	It41	First	Soil	8weeks	8weeks	1	2	Italian_Italian	Italian_None_Soil	591	bacteria	native	Italian	Italian_native	native_8weeks
I.35S	5.239761296	2.442297558	Italian	Italian	Italian	Italian	It41	Third	Soil	8weeks	8weeks	3	2	Italian_Italian	Italian_Italian_Soil	371	bacteria	repopulated	Italian	Italian_repopulated	repopulated_8weeks
I.38S	5.558750437	3.136022265	Italian	Italian	None	Italian	It32	First	Soil	8weeks	8weeks	2	2	Italian_Italian	Italian_None_Soil	499	bacteria	native	Italian	Italian_native	native_8weeks
I.3S	5.051168705	2.263284462	Italian	Italian	Italian	Italian	It32	Third	Soil	8weeks	8weeks	1	2	Italian_Italian	Italian_Italian_Soil	349	bacteria	repopulated	Italian	Italian_repopulated	repopulated_8weeks
I.49S	5.849358529	3.393951656	Italian	Italian	None	Italian	It24	First	Soil	8weeks	8weeks	3	2	Italian_Italian	Italian_None_Soil	509	bacteria	native	Italian	Italian_native	native_8weeks
I.5S	4.856266443	2.732474202	Italian	Italian	Italian	Italian	It24	Third	Soil	8weeks	8weeks	na	1	Italian_Italian	Italian_Italian_Soil	277	bacteria	repopulated	Italian	Italian_repopulated	repopulated_8weeks
I.66S	5.867296847	3.647769118	Italian	Italian	None	Italian	It32	First	Soil	8weeks	8weeks	4	2	Italian_Italian	Italian_None_Soil	559	bacteria	native	Italian	Italian_native	native_8weeks
I.9S	5.148646099	2.977914226	Italian	Italian	Italian	Italian	It32	Third	Soil	8weeks	8weeks	2	2	Italian_Italian	Italian_Italian_Soil	369	bacteria	repopulated	Italian	Italian_repopulated	repopulated_8weeks
Ita.Treat.1	5.787145702	3.883430805	None	Italian	None	None	None	First	Soil	0weeks	0weeks	1	1	None_Italian	Italian_None_Soil	559	bacteria	native	Italian	Italian_native	native_0weeks
S.115S	4.392617935	3.315611387	Swedish	Swedish	Swedish	Swedish	Sw7	Third	Soil	8weeks	8weeks	1	3	Swedish_Swedish	Swedish_Swedish_Soil	253	bacteria	repopulated	Swedish	Swedish_repopulated	repopulated_8weeks
S.131S	4.261034684	2.559506112	Swedish	Swedish	Swedish	Swedish	Sw47	Third	Soil	8weeks	8weeks	2	3	Swedish_Swedish	Swedish_Swedish_Soil	232	bacteria	repopulated	Swedish	Swedish_repopulated	repopulated_8weeks
S.140S	5.384239682	4.469109978	Swedish	Swedish	None	Swedish	Sw47	First	Soil	8weeks	8weeks	2	3	Swedish_Swedish	Swedish_None_Soil	421	bacteria	native	Swedish	Swedish_native	native_8weeks
S.143S	4.223343312	2.444151635	Swedish	Swedish	Swedish	Swedish	Sw47	Third	Soil	8weeks	8weeks	3	3	Swedish_Swedish	Swedish_Swedish_Soil	226	bacteria	repopulated	Swedish	Swedish_repopulated	repopulated_8weeks
S.156S	5.538450053	3.45407708	Swedish	Swedish	None	Swedish	Sw7	First	Soil	8weeks	8weeks	3	3	Swedish_Swedish	Swedish_None_Soil	451	bacteria	native	Swedish	Swedish_native	native_8weeks
S.172S	5.784164371	4.678405768	Swedish	Swedish	None	Swedish	Sw47	First	Soil	8weeks	8weeks	4	3	Swedish_Swedish	Swedish_None_Soil	478	bacteria	native	Swedish	Swedish_native	native_8weeks
S.175S	4.134925228	2.650770539	Swedish	Swedish	Swedish	Swedish	Sw7	Third	Soil	8weeks	8weeks	4	3	Swedish_Swedish	Swedish_Swedish_Soil	198	bacteria	repopulated	Swedish	Swedish_repopulated	repopulated_8weeks
S.99S	4.014198395	2.020702406	Swedish	Swedish	None	Swedish	Sw7	First	Soil	8weeks	8weeks	1	3	Swedish_Swedish	Swedish_None_Soil	200	bacteria	native	Swedish	Swedish_native	native_8weeks
Soil.Wash.Ita.3	6.048989028	4.506878062	None	None	Italian	None	None	None	Wash	0weeks	0weeks	1	1	None_None	None_Italian_Wash	600	bacteria	soilwash	Italian	Italian_soilwash	soilwash_0weeks
Soil.Wash.Ita.4	6.194194363	4.218295853	None	None	Italian	None	None	None	Wash	0weeks	0weeks	3	1	None_None	None_Italian_Wash	666	bacteria	soilwash	Italian	Italian_soilwash	soilwash_0weeks
Soil.Wash.Ita.5	5.865319777	4.223689573	None	None	Italian	None	None	None	Wash	0weeks	0weeks	2	1	None_None	None_Italian_Wash	567	bacteria	soilwash	Italian	Italian_soilwash	soilwash_0weeks
Soil.Wash.Swe4.3	5.507429742	4.582408565	None	None	Swedish	None	None	None	Wash	0weeks	0weeks	2	1	None_None	None_Swedish_Wash	488	bacteria	soilwash	Swedish	Swedish_soilwash	soilwash_0weeks
Soil.Wash.Swe4.4	5.072132874	4.254981673	None	None	Swedish	None	None	None	Wash	0weeks	0weeks	1	1	None_None	None_Swedish_Wash	401	bacteria	soilwash	Swedish	Swedish_soilwash	soilwash_0weeks
Soil.Wash.Swe4.5	5.448769703	4.143995155	None	None	Swedish	None	None	None	Wash	0weeks	0weeks	3	1	None_None	None_Swedish_Wash	458	bacteria	soilwash	Swedish	Swedish_soilwash	soilwash_0weeks
Swe4.Treat.1	5.579990919	2.659560751	None	Swedish	None	None	None	First	Soil	0weeks	0weeks	1	1	None_Swedish	Swedish_None_Soil	475	bacteria	native	Swedish	Swedish_native	native_0weeks
