ASV	Sample	value	Condition	Phylum	Microbe
a84ef97cbd5757e24275cff44b846c0b	I.119.S	0.002	Control	 p__Actinobacteriota	Swedish
f2443f31ea9cb06fd15495215112534e	I.119.S	0	Control	 p__Proteobacteria	Swedish
b9928c63192b0a5dffc215443b0ee56c	I.119.S	0	Control	 p__Proteobacteria	Swedish
bd797c368962e36c66f5b134c30960da	I.119.S	0	Control	 p__Proteobacteria	Swedish
4deba07ad721cf0f306737b3338561ee	I.119.S	0.034	Control	 p__Actinobacteriota	Swedish
c9d380625a1d09926d9a1e65be39c04a	I.119.S	0	Control	 p__Proteobacteria	Swedish
797b65389eb0c25ea1ec0ae0c936903c	I.119.S	0	Control	 p__Proteobacteria	Swedish
5e87ec2e2aebaba32fe8246efde8adf8	I.119.S	0.006	Control	 p__Proteobacteria	Swedish
c30cc55b221580507a9ae76d70eeb61e	I.119.S	0	Control	 p__Proteobacteria	Swedish
b616d7c78517cb5603598308556e3cd1	I.119.S	0.004	Control	 p__Proteobacteria	Swedish
fb8fc7265c6180c30e79c081fb19c7be	I.119.S	0.01	Control	 p__Proteobacteria	Swedish
3c863cf67a014692d9f01d71cba0f7fb	I.119.S	0.002	Control	 p__Proteobacteria	Swedish
f2242278954a4edcdf637c335b341504	I.119.S	0.003	Control	 p__Proteobacteria	Swedish
b6053c4d0c08ab5c4649feb2384db7bf	I.119.S	0	Control	 p__Proteobacteria	Swedish
f9562ec8195301ede2664da7747dbd36	I.119.S	0.003	Control	 p__Proteobacteria	Swedish
248f686bdd6646098cfcc7991e2949a7	I.119.S	0	Control	 p__Proteobacteria	Swedish
0fb588b1f9cbe3a7876882c78dd87022	I.119.S	0	Control	 p__Proteobacteria	Swedish
8c715d72780e6caf877ec32d9d520a38	I.119.S	0	Control	 p__Proteobacteria	Swedish
d93d2a2e7b0c2ed96ca6074a717a8a4d	I.119.S	0.021	Control	 p__Actinobacteriota	Swedish
a832b817a00c54abb7635cf92063ef2f	I.119.S	0.011	Control	 p__Proteobacteria	Swedish
c5c2f468ed0c84f898045623856679cf	I.119.S	0	Control	 p__Actinobacteriota	Swedish
5e9ace0df9c3aca107aad54184b370a4	I.119.S	0.002	Control	 p__Proteobacteria	Swedish
e6ef2552608207b584bd1380e69fa7a5	I.119.S	0.016	Control	 p__Proteobacteria	Swedish
664200703a999f476d40c5d6ce30e351	I.119.S	0.002	Control	 p__Proteobacteria	Swedish
291a58ac54b2011dacb098ccf128aea9	I.119.S	0.001	Control	 p__Proteobacteria	Swedish
e72d0385e07b95485586464481e5a49e	I.119.S	0	Control	 p__Proteobacteria	Swedish
89f9897383e96a050a8898b77e42c378	I.119.S	0.006	Control	 p__Proteobacteria	Swedish
8eada08b3fdfb1f9706fe5240f37b1b8	I.119.S	0.003	Control	 p__Proteobacteria	Swedish
9a9ffa85cd03de212b837cbfe31fa375	I.119.S	0	Control	 p__Proteobacteria	Swedish
106088b2d69e72cc286d23670e1bcdd5	I.119.S	0	Control	 p__Actinobacteriota	Swedish
5291389ff9b0c2c5102950a3ade8c95f	I.119.S	0.004	Control	 p__Chloroflexi	Swedish
e74e18b1cb13f02711eda83f0a9d3793	I.119.S	0.001	Control	 p__Proteobacteria	Swedish
139a898757d6d1108b58044e646ad0ba	I.119.S	0	Control	 p__Proteobacteria	Swedish
bd54cdde92c9729991f2130849672d54	I.119.S	0.001	Control	 p__Proteobacteria	Swedish
d4ddc8a6c5b3061ff2088da5314c03ec	I.119.S	0	Control	 p__Proteobacteria	Swedish
9b1a493552c8e950d49f2efd74ebeab2	I.119.S	0	Control	 p__Actinobacteriota	Swedish
bd6720229b55e52b4f095dc493d42085	I.119.S	0	Control	 p__Proteobacteria	Swedish
