ASV	Sample	value	Condition	Phylum	Microbe
7e2ac6c4639529f3509d81027de8e37a	I.119.S	0.257	Control	p__Ascomycota	Swedish
bde718847f41be286a85301fdf2cd739	I.119.S	0.455	Control	p__Ascomycota	Swedish
4bfe433f48f73e43b61f3fac649b3279	I.119.S	0	Control	p__Ascomycota	Swedish
b5d2967d5b9a6d5320b2884b42e84d31	I.119.S	0	Control	p__Basidiomycota	Swedish
4360403cd3e59f847933844e89565fb8	I.119.S	0	Control	p__Ascomycota	Swedish
dba491f968f41369d0f8f1e7bab61f12	I.119.S	0	Control	p__Ascomycota	Swedish
c81138ead5fda9034aef0ba069409035	I.119.S	0	Control	p__Ascomycota	Swedish
8c0acc44cb255ff7abff8e6b30b98338	I.119.S	0	Control	p__Basidiomycota	Swedish
34bf7c26b2a48ce967a7388cc4e1bb0e	I.119.S	0	Control	p__Ascomycota	Swedish
600c0240058f41079f95b6bad1a7345f	I.119.S	0	Control	p__Ascomycota	Swedish
ba514a920775ab30d99b4faa14e62a0d	I.119.S	0.001	Control	p__Mortierellomycota	Swedish
6f00d69887f47ef60560cf9b4bec6eee	I.119.S	0	Control	p__Mortierellomycota	Swedish
baea88a71e00ef56ad86f81a931aceca	I.119.S	0	Control	p__Ascomycota	Swedish
e31cc9ca6084798e4bab946b3c92a3d4	I.119.S	0	Control	p__Ascomycota	Swedish
b93271b97699bdbf400e0eb32b000a45	I.119.S	0	Control	p__Ascomycota	Swedish
b02e06eb02537fef1386fd8633e0d49a	I.119.S	0	Control	p__Ascomycota	Swedish
77e8ce311f64d12b8eef46b8a79f166d	I.119.S	0	Control	p__Basidiomycota	Swedish
ba14b83d3509898c8d33ee1642f84354	I.119.S	0	Control	p__Ascomycota	Swedish
fac4e3ff623eae5ebacaf738d7c14c3d	I.119.S	0	Control	p__Ascomycota	Swedish
e8f6a447b2d4adce7603c59d71f38404	I.119.S	0	Control	p__Ascomycota	Swedish
89d3e068738cfef2858feacca7eddbaa	I.119.S	0	Control	p__Ascomycota	Swedish
917d93217272ff18a847ae06f04c732a	I.119.S	0	Control	p__Ascomycota	Swedish
7297511ec76f118be0f9753de8d817a9	I.119.S	0	Control	p__Ascomycota	Swedish
8a3eaa5f957eb0704cb2ad7d4c583e10	I.119.S	0	Control	p__Ascomycota	Swedish
b5daf8b2d313f578f61206a44946df43	I.119.S	0	Control	p__Zoopagomycota	Swedish
87c664299eaba3d3ca498e7e85398b07	I.119.S	0.002	Control	p__Ascomycota	Swedish
65ad4f5f4900ac8b4e08532854cada46	I.119.S	0	Control	p__Mortierellomycota	Swedish
4f982847195ab67f4210df0afaf75069	I.119.S	0	Control	p__Ascomycota	Swedish
be06f6343187772abaef0ed407dcf88c	I.119.S	0	Control	p__Ascomycota	Swedish
a3d1b8f6407f5afd78fa253a1c80e42a	I.119.S	0	Control	p__Ascomycota	Swedish
8b323ad1b3e539f3683651c168c3da7c	I.119.S	0	Control	p__Ascomycota	Swedish
67f029a42c052785b2759360b8321948	I.119.S	0	Control	p__Ascomycota	Swedish
a39ba8b94eacb850e45f52b3b063a462	I.119.S	0	Control	p__Basidiomycota	Swedish
91ebefb29ee2cd7e8311249d0b300375	I.119.S	0	Control	p__Ascomycota	Swedish
ca00ab029d53c553292413db8b16c35b	I.119.S	0	Control	p__Ascomycota	Swedish
3baaa1a55f67a004e5bdf88baecff544	I.119.S	0	Control	p__Ascomycota	Swedish
04c8fd87140635498913b0b4924b1297	I.119.S	0	Control	p__Ascomycota	Swedish
dd1467cf8ccdaf16f626b6f02b14239e	I.119.S	0	Control	p__Ascomycota	Swedish
e200ffaad785d18c917c21c42a9c13b4	I.119.S	0	Control	p__Ascomycota	Swedish
662b250cf11149375fc2e2b7a3c2fbab	I.119.S	0	Control	p__Ascomycota	Swedish
a4e748c619aa7525d6f16157eacfc4b2	I.119.S	0	Control	p__Basidiomycota	Swedish
c1339e0484f40c879484b5d411839480	I.119.S	0	Control	p__Ascomycota	Swedish
40e133c88a8467c8b25b8be29defcc71	I.119.S	0	Control	p__Mortierellomycota	Swedish
b48cb383bc29d1e39b4df7f4e8179071	I.119.S	0	Control	p__Basidiomycota	Swedish
0b14599add2f0b15964d880b7e099cb4	I.119.S	0	Control	p__Ascomycota	Swedish
7e2ac6c4639529f3509d81027de8e37a	I.128.S	0.152	Repopulated	p__Ascomycota	Swedish
bde718847f41be286a85301fdf2cd739	I.128.S	0.003	Repopulated	p__Ascomycota	Swedish
4bfe433f48f73e43b61f3fac649b3279	I.128.S	0	Repopulated	p__Ascomycota	Swedish
b5d2967d5b9a6d5320b2884b42e84d31	I.128.S	0	Repopulated	p__Basidiomycota	Swedish
4360403cd3e59f847933844e89565fb8	I.128.S	0	Repopulated	p__Ascomycota	Swedish
dba491f968f41369d0f8f1e7bab61f12	I.128.S	0	Repopulated	p__Ascomycota	Swedish
c81138ead5fda9034aef0ba069409035	I.128.S	0	Repopulated	p__Ascomycota	Swedish
8c0acc44cb255ff7abff8e6b30b98338	I.128.S	0	Repopulated	p__Basidiomycota	Swedish
34bf7c26b2a48ce967a7388cc4e1bb0e	I.128.S	0	Repopulated	p__Ascomycota	Swedish
600c0240058f41079f95b6bad1a7345f	I.128.S	0	Repopulated	p__Ascomycota	Swedish
ba514a920775ab30d99b4faa14e62a0d	I.128.S	0	Repopulated	p__Mortierellomycota	Swedish
6f00d69887f47ef60560cf9b4bec6eee	I.128.S	0	Repopulated	p__Mortierellomycota	Swedish
baea88a71e00ef56ad86f81a931aceca	I.128.S	0	Repopulated	p__Ascomycota	Swedish
e31cc9ca6084798e4bab946b3c92a3d4	I.128.S	0	Repopulated	p__Ascomycota	Swedish
b93271b97699bdbf400e0eb32b000a45	I.128.S	0	Repopulated	p__Ascomycota	Swedish
b02e06eb02537fef1386fd8633e0d49a	I.128.S	0	Repopulated	p__Ascomycota	Swedish
77e8ce311f64d12b8eef46b8a79f166d	I.128.S	0	Repopulated	p__Basidiomycota	Swedish
ba14b83d3509898c8d33ee1642f84354	I.128.S	0.003	Repopulated	p__Ascomycota	Swedish
fac4e3ff623eae5ebacaf738d7c14c3d	I.128.S	0	Repopulated	p__Ascomycota	Swedish
e8f6a447b2d4adce7603c59d71f38404	I.128.S	0	Repopulated	p__Ascomycota	Swedish
89d3e068738cfef2858feacca7eddbaa	I.128.S	0	Repopulated	p__Ascomycota	Swedish
917d93217272ff18a847ae06f04c732a	I.128.S	0	Repopulated	p__Ascomycota	Swedish
7297511ec76f118be0f9753de8d817a9	I.128.S	0	Repopulated	p__Ascomycota	Swedish
8a3eaa5f957eb0704cb2ad7d4c583e10	I.128.S	0	Repopulated	p__Ascomycota	Swedish
b5daf8b2d313f578f61206a44946df43	I.128.S	0	Repopulated	p__Zoopagomycota	Swedish
87c664299eaba3d3ca498e7e85398b07	I.128.S	0	Repopulated	p__Ascomycota	Swedish
65ad4f5f4900ac8b4e08532854cada46	I.128.S	0	Repopulated	p__Mortierellomycota	Swedish
4f982847195ab67f4210df0afaf75069	I.128.S	0	Repopulated	p__Ascomycota	Swedish
be06f6343187772abaef0ed407dcf88c	I.128.S	0	Repopulated	p__Ascomycota	Swedish
a3d1b8f6407f5afd78fa253a1c80e42a	I.128.S	0	Repopulated	p__Ascomycota	Swedish
8b323ad1b3e539f3683651c168c3da7c	I.128.S	0	Repopulated	p__Ascomycota	Swedish
67f029a42c052785b2759360b8321948	I.128.S	0	Repopulated	p__Ascomycota	Swedish
a39ba8b94eacb850e45f52b3b063a462	I.128.S	0	Repopulated	p__Basidiomycota	Swedish
91ebefb29ee2cd7e8311249d0b300375	I.128.S	0	Repopulated	p__Ascomycota	Swedish
ca00ab029d53c553292413db8b16c35b	I.128.S	0	Repopulated	p__Ascomycota	Swedish
3baaa1a55f67a004e5bdf88baecff544	I.128.S	0	Repopulated	p__Ascomycota	Swedish
04c8fd87140635498913b0b4924b1297	I.128.S	0	Repopulated	p__Ascomycota	Swedish
dd1467cf8ccdaf16f626b6f02b14239e	I.128.S	0	Repopulated	p__Ascomycota	Swedish
e200ffaad785d18c917c21c42a9c13b4	I.128.S	0	Repopulated	p__Ascomycota	Swedish
662b250cf11149375fc2e2b7a3c2fbab	I.128.S	0	Repopulated	p__Ascomycota	Swedish
a4e748c619aa7525d6f16157eacfc4b2	I.128.S	0	Repopulated	p__Basidiomycota	Swedish
c1339e0484f40c879484b5d411839480	I.128.S	0	Repopulated	p__Ascomycota	Swedish
40e133c88a8467c8b25b8be29defcc71	I.128.S	0	Repopulated	p__Mortierellomycota	Swedish
b48cb383bc29d1e39b4df7f4e8179071	I.128.S	0	Repopulated	p__Basidiomycota	Swedish
0b14599add2f0b15964d880b7e099cb4	I.128.S	0	Repopulated	p__Ascomycota	Swedish
7e2ac6c4639529f3509d81027de8e37a	I.136.S	0.019	Control	p__Ascomycota	Swedish
bde718847f41be286a85301fdf2cd739	I.136.S	0.007	Control	p__Ascomycota	Swedish
4bfe433f48f73e43b61f3fac649b3279	I.136.S	0	Control	p__Ascomycota	Swedish
