order	SampleID	Observed_otus	Climate	Soil	Line	Line2	Fraction	Parentalline	Replicate	ChangedConditions	Soil_line	Climate_soil	Line_Fraction	Soil_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
1	Italy.Root.It.It15.1.V5	124	Italian	Italian	Italian	Italian	Root	It15	1	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	265
2	Italy.Root.It.It15.2.V5	141	Italian	Italian	Italian	Italian	Root	It15	2	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	284
3	Italy.Root.It.It15.3.V5	159	Italian	Italian	Italian	Italian	Root	It15	3	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	298
4	Italy.Root.It.It24.1.V5	143	Italian	Italian	Italian	Italian	Root	It24	4	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	283
5	Italy.Root.It.It24.2.V5	140	Italian	Italian	Italian	Italian	Root	It24	5	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	310
6	Italy.Root.It.It24.3.V5	136	Italian	Italian	Italian	Italian	Root	It24	6	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	249
7	Italy.Root.It.It32.1.V5	151	Italian	Italian	Italian	Italian	Root	It32	7	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	254
8	Italy.Root.It.It32.2.V5	149	Italian	Italian	Italian	Italian	Root	It32	8	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	286
9	Italy.Root.It.It32.3.V5	103	Italian	Italian	Italian	Italian	Root	It32	9	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	214
10	Italy.Root.It.It41.1.V5	131	Italian	Italian	Italian	Italian	Root	It41	10	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	268
11	Italy.Root.It.It41.2.V5	140	Italian	Italian	Italian	Italian	Root	It41	11	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	256
12	Italy.Root.It.It41.3.V5	122	Italian	Italian	Italian	Italian	Root	It41	12	Control	Italian_Italian	Italian_Italian	Italian_Root	Italian_Root	Run2	no	no	no	no	255
13	Italy.Root.It.Sw11.1.V5	160	Italian	Italian	Swedish	Swedish	Root	Sw11	1	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	316
14	Italy.Root.It.Sw11.2.V5	114	Italian	Italian	Swedish	Swedish	Root	Sw11	2	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	255
15	Italy.Root.It.Sw11.3.V5	140	Italian	Italian	Swedish	Swedish	Root	Sw11	3	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	264
16	Italy.Root.It.Sw43.1.V5	119	Italian	Italian	Swedish	Swedish	Root	Sw43	4	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	245
17	Italy.Root.It.Sw43.2.V5	130	Italian	Italian	Swedish	Swedish	Root	Sw43	5	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	267
18	Italy.Root.It.Sw43.3.V5	126	Italian	Italian	Swedish	Swedish	Root	Sw43	6	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	280
19	Italy.Root.It.Sw47.1.V5	140	Italian	Italian	Swedish	Swedish	Root	Sw47	7	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	278
20	Italy.Root.It.Sw47.2.V5	149	Italian	Italian	Swedish	Swedish	Root	Sw47	8	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	302
21	Italy.Root.It.Sw47.3.V5	122	Italian	Italian	Swedish	Swedish	Root	Sw47	9	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	215
22	Italy.Root.It.Sw7.1.V5	155	Italian	Italian	Swedish	Swedish	Root	Sw7	10	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	277
23	Italy.Root.It.Sw7.2.V5	127	Italian	Italian	Swedish	Swedish	Root	Sw7	11	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	205
24	Italy.Root.It.Sw7.3.V5	166	Italian	Italian	Swedish	Swedish	Root	Sw7	12	Genotype	Italian_Swedish	Italian_Italian	Swedish_Root	Italian_Root	Run2	yes	no	yes	no	334
52	Italy.Root.Sw.It15.1.V5	151	Italian	Swedish	Italian	Italian	Root	It15	1	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	302
53	Italy.Root.Sw.It15.2.V5	137	Italian	Swedish	Italian	Italian	Root	It15	2	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	260
54	Italy.Root.Sw.It15.3.V5	145	Italian	Swedish	Italian	Italian	Root	It15	3	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	297
55	Italy.Root.Sw.It24.1.V5	158	Italian	Swedish	Italian	Italian	Root	It24	4	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	292
56	Italy.Root.Sw.It24.2.V5	171	Italian	Swedish	Italian	Italian	Root	It24	5	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	307
57	Italy.Root.Sw.It24.3.V5	165	Italian	Swedish	Italian	Italian	Root	It24	6	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	319
58	Italy.Root.Sw.It32.1.V5	142	Italian	Swedish	Italian	Italian	Root	It32	7	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	269
59	Italy.Root.Sw.It32.2.V5	160	Italian	Swedish	Italian	Italian	Root	It32	8	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	286
60	Italy.Root.Sw.It32.3.V5	148	Italian	Swedish	Italian	Italian	Root	It32	9	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	284
61	Italy.Root.Sw.It41.1.V5	166	Italian	Swedish	Italian	Italian	Root	It41	10	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	299
62	Italy.Root.Sw.It41.2.V5	148	Italian	Swedish	Italian	Italian	Root	It41	11	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	317
63	Italy.Root.Sw.It41.3.V5	158	Italian	Swedish	Italian	Italian	Root	It41	12	Climate_Genotype	Swedish_Italian	Italian_Swedish	Italian_Root	Swedish_Root	Run1	yes	no	no	yes	328
