order	SampleID	Climate	Soil	Line	Line2	Fraction	Replicate	Soil_Fraction	ChangedConditions	Climate_soil	Line_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
1	Italy.Root.It.It15.1.ITS1	Italian	Italian	Italian	Italian	Root	1	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	77
2	Italy.Root.It.It15.2.ITS1	Italian	Italian	Italian	Italian	Root	2	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	82
3	Italy.Root.It.It15.3.ITS1	Italian	Italian	Italian	Italian	Root	3	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	110
4	Italy.Root.It.It24.1.ITS1	Italian	Italian	Italian	Italian	Root	4	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	79
5	Italy.Root.It.It24.2.ITS1	Italian	Italian	Italian	Italian	Root	5	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	83
6	Italy.Root.It.It24.3.ITS1	Italian	Italian	Italian	Italian	Root	6	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	60
7	Italy.Root.It.It32.1.ITS1	Italian	Italian	Italian	Italian	Root	7	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	97
8	Italy.Root.It.It32.2.ITS1	Italian	Italian	Italian	Italian	Root	8	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	71
9	Italy.Root.It.It32.3.ITS1	Italian	Italian	Italian	Italian	Root	9	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	44
10	Italy.Root.It.It41.1.ITS1	Italian	Italian	Italian	Italian	Root	10	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	39
11	Italy.Root.It.It41.2.ITS1	Italian	Italian	Italian	Italian	Root	11	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	112
12	Italy.Root.It.It41.3.ITS1	Italian	Italian	Italian	Italian	Root	12	Italian_Root	Control	Italian_Italian	Italian_Root	Run2	no	no	no	no	83
13	Italy.Root.It.Sw11.1.ITS1	Italian	Italian	Swedish	Swedish	Root	1	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	41
14	Italy.Root.It.Sw11.2.ITS1	Italian	Italian	Swedish	Swedish	Root	2	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	63
15	Italy.Root.It.Sw11.3.ITS1	Italian	Italian	Swedish	Swedish	Root	3	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	31
16	Italy.Root.It.Sw43.1.ITS1	Italian	Italian	Swedish	Swedish	Root	4	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	93
17	Italy.Root.It.Sw43.2.ITS1	Italian	Italian	Swedish	Swedish	Root	5	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	55
18	Italy.Root.It.Sw43.3.ITS1	Italian	Italian	Swedish	Swedish	Root	6	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	27
19	Italy.Root.It.Sw47.1.ITS1	Italian	Italian	Swedish	Swedish	Root	7	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	62
20	Italy.Root.It.Sw47.2.ITS1	Italian	Italian	Swedish	Swedish	Root	8	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	74
21	Italy.Root.It.Sw47.3.ITS1	Italian	Italian	Swedish	Swedish	Root	9	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	60
22	Italy.Root.It.Sw7.1.ITS1	Italian	Italian	Swedish	Swedish	Root	10	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	99
23	Italy.Root.It.Sw7.2.ITS1	Italian	Italian	Swedish	Swedish	Root	11	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	44
24	Italy.Root.It.Sw7.3.ITS1	Italian	Italian	Swedish	Swedish	Root	12	Italian_Root	Genotype	Italian_Italian	Swedish_Root	Run2	yes	no	yes	no	61
52	Italy.Root.Sw.It15.1.ITS1	Italian	Swedish	Italian	Italian	Root	1	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	109
53	Italy.Root.Sw.It15.2.ITS1	Italian	Swedish	Italian	Italian	Root	2	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	48
54	Italy.Root.Sw.It15.3.ITS1	Italian	Swedish	Italian	Italian	Root	3	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	52
55	Italy.Root.Sw.It24.1.ITS1	Italian	Swedish	Italian	Italian	Root	4	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	90
56	Italy.Root.Sw.It24.2.ITS1	Italian	Swedish	Italian	Italian	Root	5	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	138
57	Italy.Root.Sw.It24.3.ITS1	Italian	Swedish	Italian	Italian	Root	6	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	100
58	Italy.Root.Sw.It32.1.ITS1	Italian	Swedish	Italian	Italian	Root	7	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	0
59	Italy.Root.Sw.It32.2.ITS1	Italian	Swedish	Italian	Italian	Root	8	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	99
60	Italy.Root.Sw.It32.3.ITS1	Italian	Swedish	Italian	Italian	Root	9	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	101
61	Italy.Root.Sw.It41.1.ITS1	Italian	Swedish	Italian	Italian	Root	10	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	87
62	Italy.Root.Sw.It41.2.ITS1	Italian	Swedish	Italian	Italian	Root	11	Swedish_Root	Climate_Genotype	Italian_Swedish	Italian_Root	Run1	yes	no	no	yes	124
63	Italy.Root.Sw.It41.3.ITS1	Italian	Swedish	Italian	Italian	Root	12	Swedish_Root	Climate_Genotype	Italian_Swedish	Swedish_Root	Run1	yes	no	no	yes	94
64	Italy.Root.Sw.Sw11.1.ITS1	Italian	Swedish	Swedish	Swedish	Root	1	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	70
65	Italy.Root.Sw.Sw11.2.ITS1	Italian	Swedish	Swedish	Swedish	Root	2	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	0
66	Italy.Root.Sw.Sw11.3.ITS1	Italian	Swedish	Swedish	Swedish	Root	3	Swedish_Root	Climate	Italian_Swedish	Swedish_Root	Run1	yes	yes	no	no	87
