SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Changed_chamber	Changed_soil	Changed_both	Changed_genotype
6month.1	Italian	Swedish	Swedish	Unplanted	Unplanted	Unplanted	Third	Soil	6months	1	6	Swedish	Repopulated_changed_climate	Repopulated_changed_climate_Swedish	Swedish_Unplanted	no	no	no	yes
6month.33	Italian	Italian	None	Unplanted	Unplanted	Unplanted	First	Soil	6months	2	5	Italian	Control	Control_Italian	Italian_Unplanted	no	no	no	no
6month.35	Italian	Italian	Italian	Unplanted	Unplanted	Unplanted	Third	Soil	6months	3	7	Italian	Repopulated	Repopulated_Italian	Italian_Unplanted	no	no	no	yes
6month.36	Italian	Swedish	Swedish	Unplanted	Unplanted	Unplanted	Third	Soil	6months	2	6	Swedish	Repopulated_changed_climate	Repopulated_changed_climate_Swedish	Swedish_Unplanted	no	no	no	yes
6month.38	Italian	Italian	None	Unplanted	Unplanted	Unplanted	First	Soil	6months	1	5	Italian	Control	Control_Italian	Italian_Unplanted	no	no	no	no
6month.5	Italian	Italian	Italian	Unplanted	Unplanted	Unplanted	Third	Soil	6months	2	7	Italian	Repopulated	Repopulated_Italian	Italian_Unplanted	no	no	no	yes
6month.62	Italian	Italian	Swedish	Unplanted	Unplanted	Unplanted	Fourth	Soil	6months	1	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Unplanted	yes	yes	yes	yes
6month.67	Italian	Swedish	Italian	Unplanted	Unplanted	Unplanted	Fourth	Soil	6months	2	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Unplanted	no	yes	no	yes
6month.70	Italian	Italian	None	Unplanted	Unplanted	Unplanted	First	Soil	6months	3	5	Italian	Control	Control_Italian	Italian_Unplanted	no	no	no	no
6month.71	Italian	Italian	Swedish	Unplanted	Unplanted	Unplanted	Fourth	Soil	6months	3	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Unplanted	yes	yes	yes	yes
6month.72	Italian	Swedish	Swedish	Unplanted	Unplanted	Unplanted	Third	Soil	6months	3	6	Swedish	Repopulated_changed_climate	Repopulated_changed_climate_Swedish	Swedish_Unplanted	no	no	no	yes
6month.75	Italian	Italian	Swedish	Unplanted	Unplanted	Unplanted	Fourth	Soil	6months	2	6	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Unplanted	yes	yes	yes	yes
6month.77	Italian	Swedish	Italian	Unplanted	Unplanted	Unplanted	Fourth	Soil	6months	1	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Unplanted	no	yes	no	yes
6month.82	Italian	Swedish	Italian	Unplanted	Unplanted	Unplanted	Fourth	Soil	6months	3	6	Italian	Changed_soil	Changed_soil_Italian	Italian_Unplanted	no	yes	no	yes
6month.9	Italian	Italian	Italian	Unplanted	Unplanted	Unplanted	Third	Soil	6months	1	5	Italian	Repopulated	Repopulated_Italian	Italian_Unplanted	no	no	no	yes
8month.104	Swedish	Italian	Swedish	Unplanted	Unplanted	Unplanted	Fourth	Soil	8months	1	7	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Unplanted	no	yes	no	yes
8month.110	Swedish	Swedish	Italian	Unplanted	Unplanted	Unplanted	Fourth	Soil	8months	1	7	Italian	Changed_soil_climate	Changed_soil_climate_Italian	Italian_Unplanted	yes	yes	yes	yes
8month.112	Swedish	Italian	Swedish	Unplanted	Unplanted	Unplanted	Fourth	Soil	8months	3	7	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Unplanted	no	yes	no	yes
8month.114	Swedish	Italian	None	Unplanted	Unplanted	Unplanted	First	Soil	8months	2	7	Italian	Changed_climate	Changed_climate_Italian	Italian_Unplanted	yes	no	no	no
8month.115	Swedish	Swedish	Swedish	Unplanted	Unplanted	Unplanted	Third	Soil	8months	2	8	Swedish	Repopulated	Repopulated_Swedish	Swedish_Unplanted	no	no	no	yes
8month.120	Swedish	Italian	None	Unplanted	Unplanted	Unplanted	First	Soil	8months	1	6	Italian	Changed_climate	Changed_climate_Italian	Italian_Unplanted	yes	no	no	no
