"day","period","time","temperature","par"
1,1,"05:01",11.2,0
1,2,"07:01",13.1,311
1,3,"09:01",15,311
1,4,"14:48",15,311
1,5,"16:48",12.8,0
1,6,"18:48",10.5,0
2,1,"05:02",10.5,0
2,2,"07:02",12.3,308
2,3,"09:02",14,308
2,4,"14:48",14,308
2,5,"16:48",10.6,0
2,6,"18:48",7.2,0
3,1,"05:03",7.2,0
3,2,"07:03",9.7,306
3,3,"09:03",12.2,306
3,4,"14:47",12.2,306
3,5,"16:47",8.8,0
3,6,"18:47",5.4,0
4,1,"05:05",5.4,0
4,2,"07:05",7.9,302
4,3,"09:05",10.4,302
4,4,"14:46",10.4,302
4,5,"16:46",6.9,0
4,6,"18:46",3.4,0
5,1,"05:06",3.4,0
5,2,"07:06",5.8,299
5,3,"09:06",8.2,299
5,4,"14:45",8.2,299
5,5,"16:45",5.8,0
5,6,"18:45",3.3,0
6,1,"05:07",3.3,0
6,2,"07:07",6.2,296
6,3,"09:07",9.1,296
6,4,"14:45",9.1,296
6,5,"16:45",7.3,0
6,6,"18:45",5.6,0
7,1,"05:08",5.6,0
7,2,"07:08",7.1,294
7,3,"09:08",8.7,294
7,4,"14:44",8.7,294
7,5,"16:44",6.2,0
7,6,"18:44",3.7,0
8,1,"05:09",3.7,0
8,2,"07:09",5.8,291
8,3,"09:09",7.9,291
8,4,"14:43",7.9,291
8,5,"16:43",5.3,0
8,6,"18:43",2.7,0
9,1,"05:10",2.7,0
9,2,"07:10",5.3,288
9,3,"09:10",8,288
9,4,"14:43",8,288
9,5,"16:43",5.3,0
9,6,"18:43",2.7,0
10,1,"05:12",2.7,0
10,2,"07:12",5.2,285
10,3,"09:12",7.7,285
10,4,"14:42",7.7,285
10,5,"16:42",7.6,0
10,6,"18:42",7.5,0
11,1,"05:13",7.5,0
11,2,"07:13",9.1,283
11,3,"09:13",10.7,283
11,4,"14:42",10.7,283
11,5,"16:42",8.6,0
11,6,"18:42",6.4,0
12,1,"05:14",6.4,0
12,2,"07:14",8,281
12,3,"09:14",9.7,281
12,4,"14:41",9.7,281
12,5,"16:41",7.7,0
12,6,"18:41",5.8,0
13,1,"05:15",5.8,0
13,2,"07:15",8.1,278
13,3,"09:15",10.4,278
13,4,"14:41",10.4,278
13,5,"16:41",7.8,0
13,6,"18:41",5.1,0
14,1,"05:16",5.1,0
14,2,"07:16",6.8,276
14,3,"09:16",8.4,276
14,4,"14:41",8.4,276
14,5,"16:41",8.1,0
14,6,"18:41",7.8,0
15,1,"05:17",7.8,0
15,2,"07:17",8.5,273
15,3,"09:17",9.3,273
15,4,"14:40",9.3,273
15,5,"16:40",7.6,0
15,6,"18:40",5.9,0
16,1,"05:18",5.9,0
16,2,"07:18",8.1,271
16,3,"09:18",10.4,271
16,4,"14:40",10.4,271
16,5,"16:40",7.4,0
16,6,"18:40",4.5,0
17,1,"05:19",4.5,0
17,2,"07:19",7.1,269
17,3,"09:19",9.8,269
17,4,"14:40",9.8,269
17,5,"16:40",8.9,0
17,6,"18:40",8,0
18,1,"05:20",8,0
18,2,"07:20",9.3,268
18,3,"09:20",10.5,268
18,4,"14:39",10.5,268
18,5,"16:39",8.8,0
18,6,"18:39",7.1,0
19,1,"05:21",7.1,0
19,2,"07:21",9.2,266
19,3,"09:21",11.3,266
19,4,"14:39",11.3,266
19,5,"16:39",10.2,0
19,6,"18:39",9.2,0
20,1,"05:22",9.2,0
20,2,"07:22",10.9,264
