Day # of Exp,Time period,Clock Time,Military Time,Photoperiod (hours),Temp C,Desired PAR
1,2,6:06 AM,6:06,,18.4,500 to 600
1,3,7:35 AM,7:35,,18.4,500 to 600
1,4,4:25 PM,16:25,,18.4,500 to 600
1,5,5:54 PM,17:54,11.8,15.4,0
1,6,7:25 PM,19:25,,12.4,0
2,1,4:34 AM,4:34,,12.4,0
2,2,6:06 AM,6:06,,15.1,500 to 600
2,3,7:35 AM,7:35,,17.8,500 to 600
2,4,4:25 PM,16:25,,17.8,500 to 600
2,5,5:54 PM,17:54,11.8,15.25,0
2,6,7:25 PM,19:25,,12.7,0
3,1,4:34 AM,4:34,,12.7,0
3,2,6:06 AM,6:06,,15.35,500 to 600
3,3,7:35 AM,7:35,,18,500 to 600
3,4,4:25 PM,16:25,,18,500 to 600
3,5,5:54 PM,17:54,11.8,17.45,0
3,6,7:25 PM,19:25,,16.9,0
4,1,4:34 AM,4:34,,16.9,0
4,2,6:06 AM,6:06,,18.9,500 to 600
4,3,7:35 AM,7:35,,20.9,500 to 600
4,4,4:25 PM,16:25,,20.9,500 to 600
4,5,5:54 PM,17:54,11.8,18.2,0
4,6,7:25 PM,19:25,,15.5,0
5,1,4:34 AM,4:34,,15.5,0
5,2,6:06 AM,6:06,,18.6,500 to 600
5,3,7:35 AM,7:35,,21.7,500 to 600
5,4,4:25 PM,16:25,,21.7,500 to 600
5,5,5:54 PM,17:54,11.8,17.75,0
5,6,7:25 PM,19:25,,13.8,0
6,1,4:34 AM,4:34,,13.8,0
6,2,6:06 AM,6:06,,17.55,500 to 600
6,3,7:35 AM,7:35,,21.3,500 to 600
6,4,4:25 PM,16:25,,21.3,500 to 600
6,5,5:54 PM,17:54,11.8,17.4,0
6,6,7:25 PM,19:25,,13.5,0
7,1,4:34 AM,4:34,,13.5,0
7,2,6:06 AM,6:06,,18.65,500 to 600
7,3,7:35 AM,7:35,,23.8,500 to 600
7,4,4:25 PM,16:25,,23.8,500 to 600
7,5,5:54 PM,17:54,11.8,18.8,0
7,6,7:25 PM,19:25,,13.8,0
8,1,4:34 AM,4:34,,13.8,0
8,2,6:06 AM,6:06,,17.7,500 to 600
8,3,7:35 AM,7:35,,21.6,500 to 600
8,4,4:25 PM,16:25,,21.6,500 to 600
8,5,5:54 PM,17:54,11.8,18.05,0
8,6,7:25 PM,19:25,,14.5,0
9,1,4:34 AM,4:34,,14.5,0
9,2,6:15 AM,6:15,,16.2,500 to 600
9,3,7:42 AM,7:42,,17.9,500 to 600
9,4,4:18 PM,16:18,,17.9,500 to 600
9,5,5:45 PM,17:45,11.5,15.3,0
9,6,7:18 PM,19:18,,12.7,0
10,1,4:40 AM,4:40,,12.7,0
10,2,6:15 AM,6:15,,15.35,500 to 600
10,3,7:42 AM,7:42,,18,500 to 600
10,4,4:18 PM,16:18,,18,500 to 600
10,5,5:45 PM,17:45,11.5,15.3,0
10,6,7:18 PM,19:18,,12.6,0
11,1,4:40 AM,4:40,,12.6,0
11,2,6:15 AM,6:15,,15.55,500 to 600
11,3,7:42 AM,7:42,,18.5,500 to 600
11,4,4:18 PM,16:18,,18.5,500 to 600
11,5,5:45 PM,17:45,11.5,15.4,0
11,6,7:18 PM,19:18,,12.3,0
12,1,4:40 AM,4:40,,12.3,0
12,2,6:15 AM,6:15,,15.5,500 to 600
12,3,7:42 AM,7:42,,18.7,500 to 600
12,4,4:18 PM,16:18,,18.7,500 to 600
12,5,5:45 PM,17:45,11.5,16.2,0
12,6,7:18 PM,19:18,,13.7,0
13,1,4:40 AM,4:40,,13.7,0
13,2,6:15 AM,6:15,,17.4,500 to 600
13,3,7:42 AM,7:42,,21.1,500 to 600
13,4,4:18 PM,16:18,,21.1,500 to 600
13,5,5:45 PM,17:45,11.5,17,0
13,6,7:18 PM,19:18,,12.9,0
14,1,4:40 AM,4:40,,12.9,0
14,2,6:15 AM,6:15,,16.25,500 to 600
14,3,7:42 AM,7:42,,19.6,500 to 600
14,4,4:18 PM,16:18,,19.6,500 to 600
14,5,5:45 PM,17:45,11.5,16.2,0
14,6,7:18 PM,19:18,,12.8,0
15,1,4:40 AM,4:40,,12.8,0
15,2,6:15 AM,6:15,,16.3,300
15,3,7:42 AM,7:42,,19.8,400
15,4,4:18 PM,16:18,,19.8,300
15,5,5:45 PM,17:45,11.5,14.85,0
15,6,7:18 PM,19:18,,9.9,0
16,1,4:40 AM,4:40,,9.9,0
16,2,6:15 AM,6:15,,14.55,300
16,3,7:42 AM,7:42,,19.2,400
16,4,4:18 PM,16:18,,19.2,300
16,5,5:45 PM,17:45,11.5,14.75,0
16,6,7:18 PM,19:18,,10.3,0
17,1,4:40 AM,4:40,,10.3,0
17,2,6:33 AM,6:33,,15.2,300
17,3,7:55 AM,7:55,,20.1,400
17,4,4:05 PM,16:05,,20.1,300
17,5,5:27 PM,17:27,10.9,15.75,0
17,6,7:05 PM,19:05,,11.4,0
18,1,4:54 AM,4:54,,11.4,0
18,2,6:33 AM,6:33,,15.75,300
18,3,7:55 AM,7:55,,20.1,400
18,4,4:05 PM,16:05,,20.1,300
18,5,5:27 PM,17:27,10.9,15.75,0
