Day # of Exp,Time Period,Clock Time,Military Time,Photoperiod (hours),Temp C,Desired PAR
1,2,4:48 AM,4:48,,8.6,500
1,3,6:36 AM,6:36,,12.3,500
1,4,5:24 PM,17:24,,12.3,500
1,5,7:12 PM,19:12,14.40,11.0,0
1,6,8:24 PM,20:24,,9.8,0
2,1,3:36 AM,3:36,,9.8,0
2,2,4:48 AM,4:48,,11.9,500
2,3,6:36 AM,6:36,,13.9,500
2,4,5:24 PM,17:24,,13.9,500
2,5,7:12 PM,19:12,14.40,11.3,0
2,6,8:24 PM,20:24,,8.7,0
3,1,3:36 AM,3:36,,8.7,0
3,2,4:48 AM,4:48,,13.0,500
3,3,6:36 AM,6:36,,17.3,500
3,4,5:24 PM,17:24,,17.3,500
3,5,7:12 PM,19:12,14.40,15.0,0
3,6,8:24 PM,20:24,,12.7,0
4,1,3:36 AM,3:36,,12.7,0
4,2,4:48 AM,4:48,,15.0,500
4,3,6:36 AM,6:36,,17.3,500
4,4,5:24 PM,17:24,,17.3,500
4,5,7:12 PM,19:12,14.40,13.5,0
4,6,8:24 PM,20:24,,9.6,0
5,1,3:36 AM,3:36,,9.6,0
5,2,4:48 AM,4:48,,12.8,500
5,3,6:36 AM,6:36,,16.0,500
5,4,5:24 PM,17:24,,16.0,500
5,5,7:12 PM,19:12,14.40,14.7,0
5,6,8:24 PM,20:24,,13.3,0
6,1,3:36 AM,3:36,,13.3,0
6,2,4:48 AM,4:48,,14.7,500
6,3,6:36 AM,6:36,,16.1,500
6,4,5:24 PM,17:24,,16.1,500
6,5,7:12 PM,19:12,14.40,16.0,0
6,6,8:24 PM,20:24,,16.0,0
7,1,3:36 AM,3:36,,16.0,0
7,2,4:48 AM,4:48,,16.2,500
7,3,6:36 AM,6:36,,20.5,500
7,4,5:24 PM,17:24,,20.5,500
7,5,7:12 PM,19:12,14.40,15.8,0
7,6,8:24 PM,20:24,,16.0,0
8,1,3:36 AM,3:36,,16.0,0
8,2,4:48 AM,4:48,,15.5,500
8,3,6:36 AM,6:36,,19.9,500
8,4,5:24 PM,17:24,,19.9,500
8,5,7:12 PM,19:12,14.40,16.0,0
8,6,8:24 PM,20:24,,16.0,0
9,1,3:36 AM,3:36,,16.0,0
9,2,5:15 AM,5:15,,16.0,500
9,3,6:57 AM,6:57,,16.0,500
