month,day,daylength,nhours,morn1,dawn,midmorn,midaft,sunset,night
11,1,10:21,10.36,04:42,06:42,08:42,15:04,17:04,19:04
11,2,10:19,10.32,04:44,06:44,08:44,15:03,17:03,19:03
11,3,10:16,10.28,04:45,06:45,08:45,15:02,17:02,19:02
11,4,10:14,10.24,04:46,06:46,08:46,15:01,17:01,19:01
11,5,10:12,10.20,04:47,06:47,08:47,14:59,16:59,18:59
11,6,10:09,10.16,04:49,06:49,08:49,14:58,16:58,18:58
11,7,10:07,10.12,04:50,06:50,08:50,14:57,16:57,18:57
11,8,10:05,10.08,04:51,06:51,08:51,14:56,16:56,18:56
11,9,10:02,10.05,04:52,06:52,08:52,14:55,16:55,18:55
11,10,10:00,10.01,04:54,06:54,08:54,14:54,16:54,18:54
11,11,09:58,9.97,04:55,06:55,08:55,14:53,16:53,18:53
11,12,09:56,9.93,04:56,06:56,08:56,14:52,16:52,18:52
11,13,09:53,9.90,04:57,06:57,08:57,14:51,16:51,18:51
11,14,09:51,9.86,04:58,06:58,08:58,14:50,16:50,18:50
11,15,09:49,9.83,05:00,07:00,09:00,14:49,16:49,18:49
11,16,09:47,9.79,05:01,07:01,09:01,14:48,16:48,18:48
11,17,09:45,9.76,05:02,07:02,09:02,14:48,16:48,18:48
11,18,09:43,9.73,05:03,07:03,09:03,14:47,16:47,18:47
11,19,09:41,9.69,05:05,07:05,09:05,14:46,16:46,18:46
11,20,09:39,9.66,05:06,07:06,09:06,14:45,16:45,18:45
11,21,09:37,9.63,05:07,07:07,09:07,14:45,16:45,18:45
11,22,09:35,9.60,05:08,07:08,09:08,14:44,16:44,18:44
11,23,09:34,9.57,05:09,07:09,09:09,14:43,16:43,18:43
11,24,09:32,9.54,05:10,07:10,09:10,14:43,16:43,18:43
11,25,09:30,9.51,05:12,07:12,09:12,14:42,16:42,18:42
11,26,09:29,9.49,05:13,07:13,09:13,14:42,16:42,18:42
11,27,09:27,9.46,05:14,07:14,09:14,14:41,16:41,18:41
11,28,09:25,9.43,05:15,07:15,09:15,14:41,16:41,18:41
11,29,09:24,9.41,05:16,07:16,09:16,14:41,16:41,18:41
11,30,09:23,9.38,05:17,07:17,09:17,14:40,16:40,18:40
12,1,09:21,9.36,05:18,07:18,09:18,14:40,16:40,18:40
12,2,09:20,9.34,05:19,07:19,09:19,14:40,16:40,18:40
12,3,09:19,9.32,05:20,07:20,09:20,14:39,16:39,18:39
12,4,09:17,9.30,05:21,07:21,09:21,14:39,16:39,18:39
