"day","period","time","temperature","par"
1,1,"04:39",7.7,0
1,2,"06:39",9.7,225
1,3,"08:39",11.8,225
1,4,"16:45",11.8,225
1,5,"18:45",8.1,0
1,6,"20:45",4.5,0
2,1,"04:42",4.5,0
2,2,"06:42",8.3,218
2,3,"08:42",12.1,218
2,4,"16:41",12.1,218
2,5,"18:41",10.3,0
2,6,"20:41",8.6,0
3,1,"04:45",8.6,0
3,2,"06:45",9.7,212
3,3,"08:45",10.9,212
3,4,"16:38",10.9,212
3,5,"18:38",9.6,0
3,6,"20:38",8.3,0
4,1,"04:47",8.3,0
4,2,"06:47",9.9,205
4,3,"08:47",11.5,205
4,4,"16:35",11.5,205
4,5,"18:35",10,0
4,6,"20:35",8.5,0
5,1,"04:50",8.5,0
5,2,"06:50",10.8,198
5,3,"08:50",13.2,198
5,4,"16:31",13.2,198
5,5,"18:31",9.8,0
5,6,"20:31",6.5,0
6,1,"04:53",6.5,0
6,2,"06:53",11.2,192
6,3,"08:53",15.9,192
6,4,"16:28",15.9,192
6,5,"18:28",11.5,0
6,6,"20:28",7.2,0
7,1,"04:55",7.2,0
7,2,"06:55",11.2,185
7,3,"08:55",15.2,185
7,4,"16:25",15.2,185
7,5,"18:25",11.6,0
7,6,"20:25",8,0
8,1,"04:58",8,0
8,2,"06:58",9,178
8,3,"08:58",10.1,178
8,4,"16:21",10.1,178
8,5,"18:21",8.9,0
8,6,"20:21",7.8,0
9,1,"05:01",7.8,0
9,2,"07:01",9.6,172
9,3,"09:01",11.5,172
9,4,"16:18",11.5,172
9,5,"18:18",8.9,0
9,6,"20:18",6.4,0
10,1,"05:03",6.4,0
10,2,"07:03",11.2,165
10,3,"09:03",16,165
10,4,"16:15",16,165
10,5,"18:15",11.9,0
10,6,"20:15",7.8,0
11,1,"05:06",7.8,0
11,2,"07:06",10.5,158
11,3,"09:06",13.1,158
11,4,"16:12",13.1,158
11,5,"18:12",10.6,0
11,6,"20:12",8,0
12,1,"05:09",8,0
12,2,"07:09",12.9,152
12,3,"09:09",17.8,152
12,4,"16:08",17.8,152
12,5,"18:08",12.7,0
12,6,"20:08",7.6,0
13,1,"05:11",7.6,0
13,2,"07:11",12,145
13,3,"09:11",16.4,145
13,4,"16:05",16.4,145
13,5,"18:05",11.3,0
13,6,"20:05",6.2,0
14,1,"05:14",6.2,0
14,2,"07:14",10.6,138
14,3,"09:14",15.1,138
14,4,"16:02",15.1,138
14,5,"18:02",11.1,0
14,6,"20:02",7.2,0
15,1,"05:17",7.2,0
15,2,"07:17",8.6,132
15,3,"09:17",10,132
15,4,"15:58",10,132
15,5,"17:58",8.4,0
15,6,"19:58",6.8,0
16,1,"05:19",6.8,0
16,2,"07:19",8.2,125
16,3,"09:19",9.7,125
16,4,"15:55",9.7,125
16,5,"17:55",7.1,0
16,6,"19:55",4.4,0
17,1,"05:22",4.4,0
17,2,"07:22",8,118
17,3,"09:22",11.5,118
17,4,"15:52",11.5,118
17,5,"17:52",9.7,0
17,6,"19:52",7.9,0
18,1,"05:25",7.9,0
18,2,"07:25",10.4,112
18,3,"09:25",12.9,112
18,4,"15:49",12.9,112
18,5,"17:49",9.8,0
18,6,"19:49",6.8,0
19,1,"05:28",6.8,0
19,2,"07:28",7.7,105
19,3,"09:28",8.6,105
19,4,"15:46",8.6,105
19,5,"17:46",7.6,0
19,6,"19:46",6.5,0
20,1,"05:30",6.5,0
20,2,"07:30",7.2,98
20,3,"09:30",7.9,98
20,4,"15:42",7.9,98
20,5,"17:42",6.6,0
20,6,"19:42",5.3,0
21,1,"05:33",5.3,0
21,2,"07:33",8.1,92
21,3,"09:33",10.8,92
21,4,"15:39",10.8,92
21,5,"17:39",7,0
21,6,"19:39",3.2,0
22,1,"05:36",3.2,0
22,2,"07:36",7.9,85
22,3,"09:36",12.7,85
22,4,"15:36",12.7,85
22,5,"17:36",6.7,0
22,6,"19:36",0.6,0
23,1,"05:39",0.6,0
23,2,"07:39",5.4,78
23,3,"09:39",10.2,78
23,4,"15:33",10.2,78
23,5,"17:33",5.2,0
23,6,"19:33",0.3,0
24,1,"05:41",0.3,0
24,2,"07:41",5.8,72
24,3,"09:41",11.3,72
24,4,"15:30",11.3,72
24,5,"17:30",7.4,0
24,6,"19:30",3.6,0
25,1,"05:44",3.6,0
25,2,"07:44",8.1,65
25,3,"09:44",12.6,65
25,4,"15:26",12.6,65
25,5,"17:26",7.8,0
25,6,"19:26",3,0
26,1,"05:47",3,0
26,2,"07:47",6.5,58
26,3,"09:47",9.9,58
26,4,"15:23",9.9,58
26,5,"17:23",6.4,0
26,6,"19:23",2.9,0
27,1,"05:50",2.9,0
27,2,"07:50",6.4,52
27,3,"09:50",9.9,52
27,4,"15:20",9.9,52
27,5,"17:20",6.1,0
27,6,"19:20",2.4,0
28,1,"05:53",2.4,0
28,2,"07:53",4.3,45
28,3,"09:53",6.2,45
28,4,"15:17",6.2,45
28,5,"17:17",3.9,0
28,6,"19:17",1.6,0
29,1,"05:56",1.6,0
29,2,"07:56",3,38
29,3,"09:56",4.4,38
29,4,"15:14",4.4,38
29,5,"17:14",1.3,0
29,6,"19:14",-1.7,0
30,1,"05:58",-1.7,0
30,2,"07:58",2.4,32
30,3,"09:58",6.4,32
30,4,"15:11",6.4,32
30,5,"17:11",1.6,0
30,6,"19:11",-3.1,0
31,1,"06:01",-3.1,0
31,2,"08:01",1.5,25
31,3,"10:01",6,25
31,4,"15:08",6,25
31,5,"17:08",1.9,0
31,6,"19:08",-2.3,0
32,1,"06:04",-2.3,0
32,2,"08:04",1.8,25
32,3,"10:04",5.9,25
32,4,"15:05",5.9,25
32,5,"17:05",3.3,0
32,6,"19:05",0.7,0
33,1,"06:07",0.7,0
33,2,"08:07",1.5,25
