Year,Month,Day,N Rows,Min(SoilTempAllLoggerMean),Mean(SoilTempAllLoggerMean),Max(SoilTempAllLoggerMean),Min(AirTempAllLoggerMean),Mean(AirTempAllLoggerMean),Max(AirTempAllLoggerMean)
2002,11,10,11,0.76,0.83,0.92,-9.39,-8.19,-6.49
2002,11,11,24,0.05,0.45,0.71,-13.34,-10.23,-6.25
2002,11,12,24,-0.8,-0.4,-0.01,-14.56,-12.29,-9.29
2002,11,13,24,-1.03,-0.81,-0.6,-12.59,-7.49,-4.64
2002,11,14,24,-0.59,-0.54,-0.49,-6.55,-5.52,-4.78
2002,11,15,24,-0.57,-0.42,-0.22,-6.08,-2.99,-0.99
2002,11,16,24,-0.2,-0.05,0.11,-0.85,0.43,1.9
2002,11,17,24,0.13,0.22,0.29,0.3,1.23,1.87
2002,11,18,24,0.29,0.34,0.4,-3.57,-1.23,0.48
2002,11,19,24,0.4,0.42,0.44,-4.82,-4.23,-3.66
2002,11,20,24,0.39,0.43,0.44,-5.21,-4.04,-2.73
2002,11,21,24,0.2,0.28,0.37,-5.81,-5.18,-4.81
2002,11,22,24,0.2,0.24,0.26,-5.24,-4.24,-3.38
2002,11,23,24,0.26,0.28,0.3,-4.51,-3.81,-3.47
2002,11,24,24,0.3,0.32,0.34,-3.29,-2.95,-2.43
2002,11,25,24,0.34,0.38,0.41,-2.88,-0.85,0.4
2002,11,26,24,0.41,0.43,0.46,-0.13,0.28,0.69
2002,11,27,24,0.46,0.48,0.51,-1.79,-0.54,0.44
2002,11,28,24,0.51,0.52,0.54,-6.52,-3.84,-1.68
2002,11,29,24,0.36,0.46,0.52,-8.12,-7.25,-6.43
2002,11,30,24,0.05,0.21,0.34,-6.17,-4.84,-3.56
2002,12,1,24,-0.16,-0.07,0.04,-4.09,-3.46,-3.17
2002,12,2,24,-0.16,-0.04,0.07,-4.02,-2.46,-1.4
2002,12,3,24,0.07,0.14,0.21,-1.13,-0.47,-0.19
2002,12,4,24,0.21,0.24,0.27,-5.13,-2.68,-0.78
2002,12,5,24,0.27,0.29,0.31,-5.16,-3.66,-2.54
2002,12,6,24,0.29,0.31,0.31,-7.5,-6.15,-4.75
2002,12,7,24,0.26,0.28,0.29,-8.17,-6.4,-5.64
2002,12,8,24,-0.02,0.14,0.25,-14.03,-11.22,-7.58
2002,12,9,24,-0.16,-0.1,-0.03,-11.62,-5.71,-2.73
2002,12,10,24,-0.08,-0.06,-0.05,-5.39,-3.93,-2.38
2002,12,11,24,-0.13,-0.07,0.03,-5.24,-1.03,1.83
2002,12,12,24,0.04,0.1,0.15,1.62,2.05,2.49
2002,12,13,24,0.15,0.17,0.21,-1.5,0.33,1.15
2002,12,14,24,0.21,0.24,0.26,-6.5,-1.97,1.77
2002,12,15,24,-0.11,0.14,0.25,-10.17,-7.81,-5.17
2002,12,16,24,-0.82,-0.55,-0.16,-8.37,-6.18,-5.53
2002,12,17,24,-1.27,-1.13,-0.83,-8.84,-5.92,-1.66
2002,12,18,24,-1.28,-1.04,-0.96,-5.78,-3.62,-1.85
2002,12,19,24,-1.27,-0.59,-0.13,-3.72,1.65,3.33
2002,12,20,24,-0.17,-0.08,-0.04,-9.79,-2.49,3.14
2002,12,21,24,-2.25,-1.14,-0.23,-12.46,-10.17,-8.22
2002,12,22,24,-3.87,-3.08,-2.37,-14.55,-12.15,-9.56
2002,12,23,24,-5.44,-4.55,-3.94,-14.97,-12.95,-10.12
2002,12,24,24,-5.94,-5.31,-4.8,-14.32,-11.99,-9.84
2002,12,25,24,-5.3,-4.91,-4.43,-13.83,-10.19,-7.32
2002,12,26,24,-5.02,-4.98,-4.84,-13.43,-12,-10.08
2002,12,27,24,-4.79,-3.97,-3,-10.95,-6.6,-3.69
2002,12,28,24,-2.94,-2.49,-2.15,-7.3,-5.74,-4.93
2002,12,29,24,-2.14,-1.97,-1.88,-10.53,-8.6,-7.43
2002,12,30,24,-2.17,-2.01,-1.88,-13.83,-12.44,-10.75
2002,12,31,24,-2.25,-2.21,-2.17,-12.65,-10.68,-8.83
2003,1,1,24,-2.25,-2.16,-2.12,-13.77,-11.21,-8.8
2003,1,2,24,-2.57,-2.47,-2.27,-14.45,-12.84,-11.35
2003,1,3,24,-2.65,-2.62,-2.56,-12.44,-12.02,-11.52
2003,1,4,24,-2.68,-2.66,-2.63,-12.65,-11.44,-9.34
2003,1,5,24,-2.91,-2.82,-2.66,-13.59,-12.88,-12.13
2003,1,6,24,-3.21,-3.05,-2.91,-14.06,-13.38,-12.63
2003,1,7,24,-3.22,-2.99,-2.63,-12.45,-8.1,-4.98
2003,1,8,24,-2.59,-2.2,-1.76,-4.66,-2.51,-1.27
2003,1,9,24,-1.74,-1.58,-1.52,-7.69,-4.52,-1.44
2003,1,10,24,-1.98,-1.75,-1.54,-10.82,-9.81,-8.2
2003,1,11,24,-2.29,-2.01,-1.67,-10.2,-4.1,-1.39
2003,1,12,24,-1.66,-1.58,-1.47,-5.44,-3.93,-1.93
2003,1,13,24,-1.44,-1.31,-1.26,-6.99,-4.08,-1.16
2003,1,14,24,-1.42,-1.35,-1.25,-5.85,-3.58,-2.87
2003,1,15,24,-1.25,-1.22,-1.18,-5.86,-4,-2.04
2003,1,16,24,-1.18,-1.08,-0.99,-3.85,-2.38,-1.32
2003,1,17,24,-1.14,-1.06,-0.86,-3.63,-2.24,0.47
2003,1,18,24,-0.72,-0.46,-0.36,-0.17,0.87,1.42
2003,1,19,24,-0.85,-0.42,-0.3,-6.91,-2.55,1.12
2003,1,20,24,-1.38,-1.17,-0.91,-7,-5.63,-3.02
2003,1,21,24,-1.06,-0.87,-0.71,-2.83,-1.8,-1.12
2003,1,22,24,-0.69,-0.58,-0.48,-1.26,-0.96,-0.73
2003,1,23,24,-0.48,-0.42,-0.38,-4.53,-1.85,-0.63
2003,1,24,24,-0.63,-0.53,-0.43,-5.49,-4.64,-3.75
2003,1,25,24,-0.64,-0.59,-0.54,-3.66,-1.87,-1.36
2003,1,26,24,-0.54,-0.45,-0.35,-1.46,-0.91,-0.61
2003,1,27,24,-0.45,-0.37,-0.34,-4.03,-3.26,-1.25
2003,1,28,24,-0.5,-0.48,-0.45,-3.59,-3.24,-3.04
2003,1,29,24,-0.57,-0.52,-0.5,-5.2,-4.3,-3.68
2003,1,30,24,-0.77,-0.67,-0.57,-6.57,-5.94,-5.34
2003,1,31,24,-0.95,-0.86,-0.77,-7.48,-6.91,-6.31
2003,2,1,24,-1.03,-1,-0.95,-6.97,-6.41,-5.69
2003,2,2,24,-1.03,-1.01,-0.96,-5.64,-4.67,-3.62
2003,2,3,24,-0.95,-0.86,-0.76,-3.53,-2.93,-2.57
2003,2,4,24,-0.77,-0.75,-0.75,-4.84,-4.01,-3.28
2003,2,5,24,-0.83,-0.8,-0.76,-5.5,-5.08,-4.8
2003,2,6,24,-0.93,-0.9,-0.85,-6.44,-5.78,-4.66
2003,2,7,24,-1.08,-1.01,-0.93,-7.42,-6.55,-5.21
2003,2,8,24,-1.06,-1.01,-0.91,-5.09,-3.72,-2.57
2003,2,9,24,-0.91,-0.77,-0.61,-2.5,-1.76,-1.13
2003,2,10,24,-0.59,-0.49,-0.38,-1.65,-1.11,-0.8
2003,2,11,24,-0.38,-0.34,-0.33,-2.6,-1.64,-0.96
2003,2,12,24,-0.39,-0.34,-0.26,-2.44,-1.39,-0.66
2003,2,13,24,-0.26,-0.22,-0.19,-1.78,-0.5,0.47
2003,2,14,24,-0.19,-0.16,-0.13,-2.32,-0.96,1.31
2003,2,15,24,-0.13,-0.13,-0.12,-3.16,-2.36,-1.91
2003,2,16,24,-0.23,-0.19,-0.15,-3.19,-1.26,0.13
2003,2,17,24,-0.17,-0.15,-0.12,-0.78,-0.08,1.04
2003,2,18,24,-0.12,-0.1,-0.07,-0.47,0.55,2.29
2003,2,19,24,-0.08,-0.06,-0.04,-1.38,0.3,2.3
2003,2,20,24,-0.04,-0.03,-0.02,-1.57,0.11,1.81
2003,2,21,24,-0.02,-0.01,-0.01,-0.99,0.48,2.42
2003,2,22,24,-0.01,0,0.01,-1.2,-0.11,1.53
2003,2,23,24,0.01,0.01,0.02,-2.13,-0.28,1.85
2003,2,24,24,0.02,0.02,0.04,-3.21,-1.18,0.48
2003,2,25,24,0.02,0.03,0.04,-2.36,0.81,2.44
2003,2,26,24,0.04,0.04,0.05,-2.79,-0.51,1.38
2003,2,27,24,-0.01,0.02,0.05,-2.8,-2.23,-1.74
2003,2,28,24,-0.11,-0.07,-0.02,-3.14,-2.6,-2.08
2003,3,1,24,-0.37,-0.19,-0.1,-4.27,-3.37,-2.61
2003,3,2,24,-0.53,-0.46,-0.37,-5.16,-4.78,-4.24
2003,3,3,24,-0.77,-0.68,-0.55,-6.69,-5.62,-5.06
2003,3,4,24,-1.03,-0.89,-0.76,-6.82,-5.79,-5.11
2003,3,5,24,-1.09,-0.91,-0.7,-5.71,-4.09,-2.63
2003,3,6,24,-0.7,-0.48,-0.35,-2.94,-1.82,-1.02
2003,3,7,24,-0.45,-0.28,-0.08,-2.15,-1,0.36
2003,3,8,24,-0.09,-0.03,0.02,-0.75,0.01,1.15
2003,3,9,24,-0.02,0.01,0.02,-0.93,-0.61,-0.02
2003,3,10,24,-0.04,0.01,0.05,-0.53,0.85,2.38
2003,3,11,24,0.05,0.06,0.08,1.2,2.3,3.97
2003,3,12,24,0.06,0.07,0.08,-1.69,-0.19,1.37
2003,3,13,24,0.02,0.06,0.08,-1.95,1.53,5.03
2003,3,14,24,0.06,0.07,0.09,1.25,3.37,6.09
2003,3,15,24,0.06,0.09,0.11,0.6,3.07,5.71
2003,3,16,24,0.09,0.1,0.12,1.51,3.14,6.32
2003,3,17,24,0.09,0.13,0.19,2.18,5.06,9.46
2003,3,18,24,0.16,0.47,0.79,3.48,5.4,8.83
2003,3,19,24,0.49,0.93,1.71,-5.12,2.48,6.24
2003,3,20,24,0.05,0.2,0.41,-9.84,-5.48,-0.48
2003,3,21,24,-0.07,0.05,0.19,-6.45,-1.71,1.84
2003,3,22,24,0.05,0.83,1.7,0.55,6.28,13.04
2003,3,23,24,1.15,2.19,3.53,3.33,6.78,11.69
2003,3,24,24,1.17,1.98,3.15,2.21,4.86,9.53
2003,3,25,24,1.47,3.08,5.41,2.99,5.52,10.07
2003,3,26,24,1.63,4.03,6.95,2.65,7.48,12.89
2003,3,27,24,2.91,4.34,6.04,2.46,6.51,10.87
2003,3,28,24,2.53,3.93,6.22,1.36,4.77,10.45
2003,3,29,24,3.13,4.43,5.98,2.57,4.77,9.72
2003,3,30,23,2.64,3.3,4.21,-0.55,1.31,2.42
2003,3,31,24,1.37,2.47,3.97,-4.9,-1.47,4.06
2003,4,1,24,0.8,1.03,1.66,-3.53,-1.69,-0.99
2003,4,2,24,0.8,0.82,0.88,-1.79,-1.3,-0.94
2003,4,3,24,0.88,1.11,1.61,-2.89,-0.84,1.55
2003,4,4,24,0.78,0.94,1.36,-3.51,-0.13,4.42
2003,4,5,24,0.56,0.91,1.64,-4.3,-1.19,3.06
2003,4,6,24,0.5,0.93,1.78,-6.46,-2.25,3.27
2003,4,7,24,0.42,0.95,2.1,-7.42,-3.39,1.7
2003,4,8,24,0.34,0.9,2.1,-9.41,-3.9,2.24
2003,4,9,24,0.38,1.44,3.6,-7.05,0.28,7.16
2003,4,10,24,0.78,0.99,1.41,-1.96,-0.33,5.45
2003,4,11,24,0.69,0.72,0.81,-2.78,-1.02,0.88
2003,4,12,24,0.75,0.77,0.8,-0.71,-0.25,0.72
2003,4,13,24,0.8,1.02,1.56,-0.13,1.48,4.84
2003,4,14,24,0.72,2.63,5.79,-0.31,4.76,10.42
2003,4,15,24,2.35,4.08,6.1,2.53,6.43,10.51
2003,4,16,24,4.22,5.39,7.38,5.26,8.75,13.72
2003,4,17,24,3.6,5.41,7.76,-1.25,4.68,10.08
2003,4,18,24,2.66,5.24,8.52,-1.45,3.62,9.2
2003,4,19,24,4.08,7.08,10.87,2.86,8.72,15.08
2003,4,20,24,6.1,8.55,11.71,7.05,10.4,15.25
2003,4,21,24,6.83,9.68,13.21,7.26,13.97,20.64
2003,4,22,24,6.82,8.82,10.93,0.19,7.7,11.42
2003,4,23,24,4.62,5.65,6.71,-1.96,1.25,5.51
2003,4,24,24,3.55,4.57,6.68,-2.99,0,4.44
2003,4,25,24,2.09,3.83,5.95,-4.73,-0.99,2.7
2003,4,26,24,2.49,2.93,3.36,-2.09,-0.83,0.48
2003,4,27,24,2.29,3.91,6.13,-1.17,2.1,6.21
2003,4,28,24,2.47,3.11,3.77,-1.05,-0.33,0.49
2003,4,29,24,2.56,3.3,4.23,-0.89,0.68,3.39
2003,4,30,24,2.29,2.55,3.01,-0.74,-0.45,-0.29
2003,5,1,24,2.19,2.78,4.08,-1.06,1.08,5.86
2003,5,2,24,1.98,3.84,6.04,-0.05,3.34,10.75
2003,5,3,24,2.41,4.64,7.57,-3.04,1.87,8.22
2003,5,4,24,3.37,5.53,8.78,0.32,4.3,11.15
2003,5,5,24,4.35,4.84,5.64,0.67,2.36,4.93
2003,5,6,24,4.44,5.96,7.51,2.97,8.02,13.25
2003,5,7,24,5.18,7.11,10.03,3.74,7.9,13.29
2003,5,8,24,4.43,5.99,7.76,1.43,4.27,8.93
2003,5,9,24,5.13,6.89,8.93,2,6.17,11.59
2003,5,10,24,5.46,7.56,10.12,2.96,6.41,11.44
2003,5,11,24,5.86,8.36,11.6,3.58,8.11,14.91
2003,5,12,24,6.27,8.64,11.47,1.94,7.1,14.08
2003,5,13,24,6.79,7.82,8.93,3.53,6.08,9.84
2003,5,14,24,6.88,8,10.03,4.84,7.23,11.33
2003,5,15,24,6.64,8.71,11.57,3.29,8.26,12.66
2003,5,16,24,6.48,8.57,10.45,1.55,7.7,15.83
2003,5,17,24,7.81,8.61,9.34,5.46,7.23,9.63
2003,5,18,24,8.06,9.68,12.79,6.1,9.71,18.04
2003,5,19,24,8.68,9.38,10.25,5.06,8.54,13.4
2003,5,20,24,8.12,9.13,11.21,4.06,6.48,10.99
2003,5,21,24,8,8.96,10.62,2.91,5.58,9.65
2003,5,22,24,7.91,9.58,11.3,5.17,10.21,14.68
2003,5,23,24,8.55,10.42,13.23,6.42,9.67,14.97
2003,5,24,24,8.66,9.82,10.95,3.23,7.58,11.5
2003,5,25,24,8.21,8.84,9.59,5.22,6.95,9.67
2003,5,26,24,8.25,10.05,11.92,6.27,9.71,14.66
2003,5,27,24,8.83,10.41,12.84,6.86,10.21,15.38
2003,5,28,24,8.26,10.57,13.45,6.73,11.73,17.47
2003,5,29,24,9.11,10.96,12.92,6.84,11.94,16.1
2003,5,30,24,11.01,12.44,15.29,7.6,14.25,18.8
2003,5,31,24,8.46,10.33,12.7,4.22,8.72,13.82
2003,6,1,24,8.54,10.57,13.28,4.41,8.09,12.56
2003,6,2,24,8.89,10.29,11.91,5.02,8.41,12.98
2003,6,3,24,8.93,11.23,14.52,4.93,9.31,13.74
2003,6,4,24,9.98,13.34,17.44,4.6,16.58,25.37
2003,6,5,24,9.79,12.56,14.51,5.18,10.22,16.92
2003,6,6,24,9.81,10.47,11.2,6.13,10.17,12.89
2003,6,7,24,9.76,11.57,13.95,7.82,12.9,17.98
2003,6,8,24,10.51,12.66,15.7,8.84,13.66,19.07
