Italy.Root.It.It15.1.ITS1	Italy.Root.It.It15.2.ITS1	Italy.Root.It.It15.3.ITS1	Italy.Root.It.It24.1.ITS1	Italy.Root.It.It24.2.ITS1	Italy.Root.It.It24.3.ITS1	Italy.Root.It.It32.1.ITS1	Italy.Root.It.It32.2.ITS1	Italy.Root.It.It32.3.ITS1	Italy.Root.It.It41.1.ITS1	Italy.Root.It.It41.2.ITS1	Italy.Root.It.It41.3.ITS1	Italy.Root.It.Sw11.1.ITS1	Italy.Root.It.Sw11.2.ITS1	Italy.Root.It.Sw11.3.ITS1	Italy.Root.It.Sw43.1.ITS1	Italy.Root.It.Sw43.2.ITS1	Italy.Root.It.Sw43.3.ITS1	Italy.Root.It.Sw47.1.ITS1	Italy.Root.It.Sw47.2.ITS1	Italy.Root.It.Sw47.3.ITS1	Italy.Root.It.Sw7.1.ITS1	Italy.Root.It.Sw7.2.ITS1	Italy.Root.It.Sw7.3.ITS1	Italy.Root.Sw.It15.1.ITS1	Italy.Root.Sw.It15.2.ITS1	Italy.Root.Sw.It15.3.ITS1	Italy.Root.Sw.It24.1.ITS1	Italy.Root.Sw.It24.2.ITS1	Italy.Root.Sw.It24.3.ITS1	Italy.Root.Sw.It32.1.ITS1	Italy.Root.Sw.It32.2.ITS1	Italy.Root.Sw.It32.3.ITS1	Italy.Root.Sw.It41.1.ITS1	Italy.Root.Sw.It41.2.ITS1	Italy.Root.Sw.It41.3.ITS1	Italy.Root.Sw.Sw11.1.ITS1	Italy.Root.Sw.Sw11.2.ITS1	Italy.Root.Sw.Sw11.3.ITS1	Italy.Root.Sw.Sw43.1.ITS1	Italy.Root.Sw.Sw43.2.ITS1	Italy.Root.Sw.Sw43.3.ITS1	Italy.Root.Sw.Sw47.1.ITS1	Italy.Root.Sw.Sw47.2.ITS1	Italy.Root.Sw.Sw47.3.ITS1	Italy.Root.Sw.Sw7.1.ITS1	Italy.Root.Sw.Sw7.2.ITS1	Italy.Root.Sw.Sw7.3.ITS1	Italy.Soil.It.It15.1.ITS1	Italy.Soil.It.It15.2.ITS1	Italy.Soil.It.It15.3.ITS1	Italy.Soil.It.It24.1.ITS1	Italy.Soil.It.It24.2.ITS1	Italy.Soil.It.It24.3.ITS1	Italy.Soil.It.It32.1.ITS1	Italy.Soil.It.It32.2.ITS1	Italy.Soil.It.It32.3.ITS1	Italy.Soil.It.It41.1.ITS1	Italy.Soil.It.It41.2.ITS1	Italy.Soil.It.It41.3.ITS1	Italy.Soil.It.Sw11.1.ITS1	Italy.Soil.It.Sw11.2.ITS1	Italy.Soil.It.Sw11.3.ITS1	Italy.Soil.It.Sw43.1.ITS1	Italy.Soil.It.Sw43.2.ITS1	Italy.Soil.It.Sw43.3.ITS1	Italy.Soil.It.Sw47.1.ITS1	Italy.Soil.It.Sw47.2.ITS1	Italy.Soil.It.Sw47.3.ITS1	Italy.Soil.It.Sw7.1.ITS1	Italy.Soil.It.Sw7.2.ITS1	Italy.Soil.It.Sw7.3.ITS1	Italy.Soil.Sw.It15.1.ITS1	Italy.Soil.Sw.It15.2.ITS1	Italy.Soil.Sw.It15.3.ITS1	Italy.Soil.Sw.It24.1.ITS1	Italy.Soil.Sw.It24.2.ITS1	Italy.Soil.Sw.It24.3.ITS1	Italy.Soil.Sw.It32.1.ITS1	Italy.Soil.Sw.It32.2.ITS1	Italy.Soil.Sw.It32.3.ITS1	Italy.Soil.Sw.It41.1.ITS1	Italy.Soil.Sw.It41.2.ITS1	Italy.Soil.Sw.It41.3.ITS1	Italy.Soil.Sw.Sw11.1.ITS1	Italy.Soil.Sw.Sw11.2.ITS1	Italy.Soil.Sw.Sw11.3.ITS1	Italy.Soil.Sw.Sw43.1.ITS1	Italy.Soil.Sw.Sw43.2.ITS1	Italy.Soil.Sw.Sw43.3.ITS1	Italy.Soil.Sw.Sw47.1.ITS1	Italy.Soil.Sw.Sw47.2.ITS1	Italy.Soil.Sw.Sw47.3.ITS1	Italy.Soil.Sw.Sw7.1.ITS1	Italy.Soil.Sw.Sw7.2.ITS1	Italy.Soil.Sw.Sw7.3.ITS1	Italy.Soil.Unplanted.Ita.1.ITS1	Italy.Soil.Unplanted.Ita.2.ITS1	Italy.Soil.Unplanted.Ita.3.ITS1	Italy.Soil.Unplanted.Swe1.ITS1	Italy.Soil.Unplanted.Swe2.ITS1	Italy.Soil.Unplanted.Swe3.ITS1	Sweden.DP.Soil.It.It.1.ITS1	Sweden.DP.Soil.It.It.2.ITS1	Sweden.DP.Soil.It.It.3.ITS1	Sweden.DP.Soil.It.Sw.1.ITS1	Sweden.DP.Soil.It.Sw.2.ITS1	Sweden.DP.Soil.It.Sw.3.ITS1	Sweden.DP.Soil.Sw.It.1.ITS1	Sweden.DP.Soil.Sw.It.2.ITS1	Sweden.DP.Soil.Sw.It.3.ITS1	Sweden.DP.Soil.Sw.Sw.1.ITS1	Sweden.DP.Soil.Sw.Sw.2.ITS1	Sweden.DP.Soil.Sw.Sw.3.ITS1	Sweden.Root.It.Sw.1.ITS1	Sweden.Root.It.Sw.2.ITS1	Sweden.Root.It.Sw.3.ITS1	Sweden.Root.It.Sw.4.ITS1	Sweden.Root.It.Sw.5.ITS1	Sweden.Root.It.Sw.6.ITS1	Sweden.Root.Sw.Sw.1.ITS1	Sweden.Root.Sw.Sw.2.ITS1	Sweden.Root.Sw.Sw.3.ITS1	Sweden.Root.Sw.Sw.4.ITS1	Sweden.Root.Sw.Sw.5.ITS1	Sweden.Root.Sw.Sw.6.ITS1	Sweden.Soil.It.Sw.1.ITS1	Sweden.Soil.It.Sw.2.ITS1	Sweden.Soil.It.Sw.3.ITS1	Sweden.Soil.It.Sw.4.ITS1	Sweden.Soil.It.Sw.5.ITS1	Sweden.Soil.It.Sw.6.ITS1	Sweden.Soil.Sw.Sw.1.ITS1	Sweden.Soil.Sw.Sw.2.ITS1	Sweden.Soil.Sw.Sw.3.ITS1	Sweden.Soil.Sw.Sw.4.ITS1	Sweden.Soil.Sw.Sw.5.ITS1	Sweden.Soil.Sw.Sw.6.ITS1	Sweden.Soil.Unplanted.It.1.ITS1	Sweden.Soil.Unplanted.It.2.ITS1	Sweden.Soil.Unplanted.It.3.ITS1	Sweden.Soil.Unplanted.Sw.1.ITS1	Sweden.Soil.Unplanted.Sw.2.ITS1	Sweden.Soil.Unplanted.Sw.3.ITS1
Zotu8	314	496	102	186	441	1640	334	3741	19	195	1973	93	3778	847	43	2777	1918	121	1960	54	4	4612	2852	3776	22	37	446	1409	41	374	0	34	1878	0	1853	1130	0	0	9546	72	0	413	0	462	181	154	3	0	25	564	1279	211	182	316	77	312	2296	1086	201	366	1596	1236	1550	829	5316	1295	143	1157	36	382	113	869	70	149	826	89	2	595	22	19	45	3	1139	895	3	0	2019	60	2	231	575	0	7	244	1	64	5	0	0	2	1	8	2	1	2	9	1	1	2	0	3	0	1	0	1	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	2	4	2	0	3	1	0	0	0	0
Zotu39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	40	154	210	462	42	0	205	365	145	162	34	296	0	1041	0	1171	91	1606	182	1099	1050	319	74	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5801	397	10	20	193	1	470	38	12	79	105	39	48	912	639	150	169	43	93	41	95	60	629	471	0	0	0	38	47	37	0	0	0	8	0	0	331	7	112	169	60	20	0	0	0	1	0	0	289	654	103	387	849	33	0	0	2	0	0	0	115	127	52	123	108	109	0	0	0	11	3	5
Zotu197	0	0	5	0	0	8	2	57	2	0	3	22	0	0	0	2	0	0	1	0	1	11	0	1	0	0	1	0	0	0	0	0	0	0	4	1	0	0	28	1	0	0	1	1	0	0	0	0	15	109	101	31	111	121	10	14	61	68	22	193	85	16	18	142	94	107	9	62	56	284	31	167	14	111	0	0	5	2	7	16	2	0	81	17	13	58	159	13	18	30	6	7	38	7	9	16	566	72	0	65	48	0	1	3	1	0	0	0	1	0	0	4	1	8	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0
Zotu601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	5	0	0	3	0	5	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	20	0	0	15	5	19	5	1	6	7	1	20	82	1	37	10	3	8	6	6	9	7	11	0	0	0	131	28	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Zotu48	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	100	0	0	2	0	0	0	0	1575	0	0	0	0	0	13	0	5	272	0	0	70	4	0	0	0	0	0	2	1	0	11	0	1	7	0	0	1	1	18	0	4	0	0	1	0	0	1	41	5998	5	1	0	2	4	0	4	3	215	2	27	0	11	7	0	0	106	16	5940	1	5	2	0	0	0	0	0	2	11	0	5	0	0	0	0	856	1050	669	0	1	0	0	0	0	0	0	0	0	0	1	0	0	94	0	0	0	1	0	2	16	0	9	2	3	0	0	0	0	0	0	7
Zotu245	3	1	2	1	1	2	0	0	0	0	2	2	0	8	0	0	0	1	1	0	3	11	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	170	367	53	40	63	50	47	56	19	110	61	96	308	23	93	121	66	62	52	35	97	39	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	13	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
Zotu321	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	75	16	0	3	0	2	3	0	0	0	2	0	3	77	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1162	0	0	29	21	13	0	0	2	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	2	0	0	0	6	0	0	101	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Zotu56	0	0	0	0	0	10	0	0	9	0	0	0	0	0	0	0	13	1	0	1	0	0	3	1	301	11	0	0	279	0	0	25	1	0	0	0	0	0	0	20	15	74	0	154	0	101	30	13	0	24	0	0	0	11	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	1	0	2733	22	0	0	5	0	0	46	0	16	17	2	0	0	0	0	128	2	146	16	0	17	114	36	0	0	0	9	1	0	0	0	1	2	0	0	5	0	0	14	15	0	0	12	0	53	13	72	6053	4232	545	766	5585	1877	0	0	1	0	0	14	34	453	3	50	9	14	0	0	0	1	0	1
Zotu61	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	18	0	0	0	0	0	0	0	0	6	23	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	162	20	1	0	8	0	47	5	10	0	2	3	13	21	15	0	6	124	0	7	0	2	0	27	0	0	0	57	17	0	0	0	0	3	0	0	605	246	772	1953	2756	1301	0	0	0	0	0	0	115	85	47	90	99	52	0	0	0	2	0	1	1558	805	426	1146	357	821	3	0	0	0	0	9
