Site,Tray,Block,Pos,Soil,Genotype,fruits_per_seedling
Italy,1,1,1,Sw,Italy,16
Italy,1,1,2,Sw,Sweden,0
Italy,1,1,3,Sw,Sweden,0
Italy,1,1,4,Sw,Sweden,0
Italy,1,1,5,Sw,Sweden,0
Italy,1,1,6,Sw,Sweden,0
Italy,1,1,7,Sw,Sweden,0
Italy,1,1,8,Sw,Italy,17
Italy,1,1,9,Sw,Sweden,0
Italy,1,1,10,Sw,Italy,19
Italy,1,1,11,Sw,Italy,17
Italy,1,1,12,Sw,Sweden,0
Italy,1,1,13,Sw,Sweden,0
Italy,1,1,14,Sw,Italy,3
Italy,1,1,15,Sw,Italy,0
Italy,1,1,16,Sw,Sweden,1
Italy,1,1,17,Sw,Italy,5
Italy,1,1,18,Sw,Italy,31
Italy,1,1,19,Sw,Sweden,0
Italy,1,1,20,Sw,Italy,0
Italy,1,1,21,Sw,Italy,2
Italy,1,1,22,Sw,Italy,0
Italy,1,1,23,Sw,Sweden,0
Italy,1,1,24,Sw,Sweden,0
Italy,1,1,25,Sw,Italy,13
Italy,1,1,26,Sw,Italy,29
Italy,1,1,27,Sw,Sweden,0
Italy,1,1,28,Sw,Italy,6
Italy,1,1,29,Sw,Italy,6
Italy,1,1,30,Sw,Sweden,0
Italy,1,1,31,Sw,Sweden,0
Italy,1,1,32,Sw,Italy,4
Italy,1,1,33,Sw,Sweden,0
Italy,1,1,34,Sw,Sweden,0
Italy,1,1,35,Sw,Italy,9
Italy,1,1,36,Sw,Sweden,0
Italy,1,1,37,Sw,Italy,12
Italy,1,1,38,Sw,Italy,20
Italy,1,1,39,Sw,Italy,0
Italy,1,1,40,Sw,Sweden,0
Italy,1,1,41,Sw,Sweden,0
Italy,1,1,42,Sw,Sweden,0
Italy,1,2,1,It,Italy,0
Italy,1,2,2,It,Italy,15
Italy,1,2,3,It,Sweden,2
Italy,1,2,4,It,Sweden,4
Italy,1,2,5,It,Sweden,3
Italy,1,2,6,It,Sweden,2
Italy,1,2,7,It,Sweden,0
Italy,1,2,8,It,Italy,35
Italy,1,2,9,It,Sweden,0
Italy,1,2,10,It,Italy,25
Italy,1,2,11,It,Sweden,0
Italy,1,2,12,It,Italy,5
Italy,1,2,13,It,Sweden,2
Italy,1,2,14,It,Sweden,0
Italy,1,2,15,It,Italy,21
Italy,1,2,16,It,Italy,23
Italy,1,2,17,It,Italy,9
Italy,1,2,18,It,Italy,6
Italy,1,2,19,It,Sweden,0
Italy,1,2,20,It,Italy,26
Italy,1,2,21,It,Sweden,0
Italy,1,2,22,It,Italy,0
Italy,1,2,23,It,Sweden,0
Italy,1,2,24,It,Italy,7
Italy,1,2,25,It,Italy,3
Italy,1,2,26,It,Sweden,5
Italy,1,2,27,It,Italy,31
Italy,1,2,28,It,Sweden,5
Italy,1,2,29,It,Italy,13
Italy,1,2,30,It,Italy,0
Italy,1,2,31,It,Sweden,0
Italy,1,2,32,It,Sweden,0
Italy,1,2,33,It,Italy,0
Italy,1,2,34,It,Italy,45
Italy,1,2,35,It,Sweden,0
Italy,1,2,36,It,Italy,1
Italy,1,2,37,It,Italy,4
Italy,1,2,38,It,Sweden,0
Italy,1,2,39,It,Sweden,0
Italy,1,2,40,It,Sweden,1
Italy,1,2,41,It,Sweden,2
Italy,1,2,42,It,Sweden,0
Italy,1,3,1,It,Sweden,0
Italy,1,3,2,It,Italy,13
Italy,1,3,3,It,Sweden,0
Italy,1,3,4,It,Italy,5
Italy,1,3,5,It,Sweden,0
Italy,1,3,6,It,Sweden,0
Italy,1,3,7,It,Italy,28
Italy,1,3,8,It,Sweden,0
Italy,1,3,9,It,Italy,0
Italy,1,3,10,It,Sweden,0
Italy,1,3,11,It,Italy,24
Italy,1,3,12,It,Sweden,0
Italy,1,3,13,It,Sweden,0
Italy,1,3,14,It,Italy,0
Italy,1,3,15,It,Italy,0
Italy,1,3,16,It,Italy,4
Italy,1,3,17,It,Sweden,0
Italy,1,3,18,It,Sweden,0
Italy,1,3,19,It,Italy,23
Italy,1,3,20,It,Italy,2
Italy,1,3,21,It,Sweden,0
Italy,1,3,22,It,Italy,0
Italy,1,3,23,It,Sweden,0
Italy,1,3,24,It,Italy,2
Italy,1,3,25,It,Sweden,0
Italy,1,3,26,It,Sweden,0
Italy,1,3,27,It,Italy,34
Italy,1,3,28,It,Sweden,0
Italy,1,3,29,It,Sweden,0
Italy,1,3,30,It,Sweden,0
Italy,1,3,31,It,Italy,64
Italy,1,3,32,It,Sweden,0
Italy,1,3,33,It,Italy,11
Italy,1,3,34,It,Sweden,0
Italy,1,3,35,It,Italy,0
Italy,1,3,36,It,Italy,9
Italy,1,3,37,It,Italy,0
Italy,1,3,38,It,Sweden,0
Italy,1,3,39,It,Italy,4
Italy,1,3,40,It,Italy,15
Italy,1,3,41,It,Sweden,0
Italy,1,3,42,It,Sweden,0
Italy,1,4,1,Sw,Italy,100
Italy,1,4,2,Sw,Sweden,0
Italy,1,4,3,Sw,Sweden,0
Italy,1,4,4,Sw,Italy,4
Italy,1,4,5,Sw,Sweden,0
Italy,1,4,6,Sw,Italy,35
Italy,1,4,7,Sw,Sweden,0
Italy,1,4,8,Sw,Italy,3
Italy,1,4,9,Sw,Italy,0
Italy,1,4,10,Sw,Sweden,0
Italy,1,4,11,Sw,Sweden,0
Italy,1,4,12,Sw,Italy,0
Italy,1,4,13,Sw,Sweden,0
Italy,1,4,14,Sw,Italy,3
Italy,1,4,15,Sw,Italy,0
Italy,1,4,16,Sw,Italy,12
Italy,1,4,17,Sw,Sweden,0
Italy,1,4,18,Sw,Italy,3
Italy,1,4,19,Sw,Italy,19
Italy,1,4,20,Sw,Italy,0
Italy,1,4,21,Sw,Italy,16
Italy,1,4,22,Sw,Sweden,0
Italy,1,4,23,Sw,Sweden,0
Italy,1,4,24,Sw,Sweden,0
Italy,1,4,25,Sw,Italy,10
Italy,1,4,26,Sw,Italy,5
Italy,1,4,27,Sw,Sweden,0
Italy,1,4,28,Sw,Sweden,0
Italy,1,4,29,Sw,Sweden,0
Italy,1,4,30,Sw,Italy,0
Italy,1,4,31,Sw,Italy,0
Italy,1,4,32,Sw,Italy,3
Italy,1,4,33,Sw,Sweden,15
Italy,1,4,34,Sw,Italy,5
Italy,1,4,35,Sw,Sweden,6
Italy,1,4,36,Sw,Sweden,0
Italy,1,4,37,Sw,Sweden,0
Italy,1,4,38,Sw,Sweden,0
Italy,1,4,39,Sw,Sweden,0
Italy,1,4,40,Sw,Italy,13
Italy,1,4,41,Sw,Sweden,0
Italy,1,4,42,Sw,Sweden,0
Italy,1,5,1,Sw,Sweden,0
Italy,1,5,2,Sw,Sweden,0
Italy,1,5,3,Sw,Italy,5
Italy,1,5,4,Sw,Sweden,0
Italy,1,5,5,Sw,Italy,18
