trt,Climate,SoilTrmt,Soil,Sterile,Tea,geno,tub,fruits_per_seedling,plants_per_block
1,Italian,1,Italy,0,No,It,32,5.25,2
1,Italian,1,Italy,0,No,It,33,6.5,2
1,Italian,1,Italy,0,No,It,38,0,2
1,Italian,1,Italy,0,No,It,49,1.75,2
1,Italian,1,Italy,0,No,It,58,0,4
1,Italian,1,Italy,0,No,It,66,1.25,2
1,Italian,1,Italy,0,No,It,70,3.75,2
1,Italian,1,Italy,0,No,It,86,1.25,2
1,Italian,1,Italy,0,No,Sw,32,0,3
1,Italian,1,Italy,0,No,Sw,33,2.33333333333333,3
1,Italian,1,Italy,0,No,Sw,38,0,3
1,Italian,1,Italy,0,No,Sw,49,1.5,3
1,Italian,1,Italy,0,No,Sw,58,0,4
1,Italian,1,Italy,0,No,Sw,66,0,3
1,Italian,1,Italy,0,No,Sw,70,1,3
1,Italian,1,Italy,0,No,Sw,86,1.16666666666667,3
2,Italian,2,Italy,1,No,It,11,7.5,2
2,Italian,2,Italy,1,No,It,13,4.75,2
2,Italian,2,Italy,1,No,It,44,6.25,2
2,Italian,2,Italy,1,No,It,45,2.25,2
2,Italian,2,Italy,1,No,It,55,7.75,2
2,Italian,2,Italy,1,No,It,74,2.75,2
2,Italian,2,Italy,1,No,It,81,6,2
2,Italian,2,Italy,1,No,It,88,3.25,2
2,Italian,2,Italy,1,No,Sw,11,6,3
2,Italian,2,Italy,1,No,Sw,13,0,2
2,Italian,2,Italy,1,No,Sw,44,5.33333333333333,3
2,Italian,2,Italy,1,No,Sw,45,0,3
2,Italian,2,Italy,1,No,Sw,55,4.83333333333333,3
2,Italian,2,Italy,1,No,Sw,74,0,3
2,Italian,2,Italy,1,No,Sw,81,4.16666666666667,3
2,Italian,2,Italy,1,No,Sw,88,4.66666666666667,3
3,Italian,3,Italy,1,Italy,It,3,1.5,2
3,Italian,3,Italy,1,Italy,It,5,3.5,2
3,Italian,3,Italy,1,Italy,It,9,5.75,2
3,Italian,3,Italy,1,Italy,It,29,6.5,2
3,Italian,3,Italy,1,Italy,It,35,5.83333333333333,3
3,Italian,3,Italy,1,Italy,It,76,1.5,2
3,Italian,3,Italy,1,Italy,It,79,1.5,2
3,Italian,3,Italy,1,Italy,It,87,6.75,2
3,Italian,3,Italy,1,Italy,Sw,3,0,3
3,Italian,3,Italy,1,Italy,Sw,5,0,3
3,Italian,3,Italy,1,Italy,Sw,9,3.16666666666667,3
3,Italian,3,Italy,1,Italy,Sw,29,1.83333333333333,3
3,Italian,3,Italy,1,Italy,Sw,35,5.5,2
3,Italian,3,Italy,1,Italy,Sw,76,6,3
3,Italian,3,Italy,1,Italy,Sw,79,0.166666666666667,3
3,Italian,3,Italy,1,Italy,Sw,87,1.66666666666667,3
4,Italian,4,Italy,1,Sweden,It,22,3.75,2
4,Italian,4,Italy,1,Sweden,It,24,6.25,2
4,Italian,4,Italy,1,Sweden,It,48,5.25,2
4,Italian,4,Italy,1,Sweden,It,62,6.25,2
