"tub","pos","trt","climate","soil","sterile","tea","genotype"
27,1,1,"it","it",0,"none","Sw11"
27,2,1,"it","it",0,"none","Sw43"
27,3,1,"it","it",0,"none","It15"
27,4,1,"it","it",0,"none","It24"
27,5,1,"it","it",0,"none","Sw7"
27,6,1,"it","it",0,"none","It32"
27,7,1,"it","it",0,"none","It41"
27,8,1,"it","it",0,"none","Sw47"
57,1,1,"it","it",0,"none","It15"
57,2,1,"it","it",0,"none","It41"
57,3,1,"it","it",0,"none","It32"
57,4,1,"it","it",0,"none","Sw47"
57,5,1,"it","it",0,"none","It24"
57,6,1,"it","it",0,"none","Sw7"
57,7,1,"it","it",0,"none","Sw11"
57,8,1,"it","it",0,"none","Sw43"
15,1,1,"it","it",0,"none","Sw47"
15,2,1,"it","it",0,"none","Sw11"
15,3,1,"it","it",0,"none","It24"
15,4,1,"it","it",0,"none","It15"
15,5,1,"it","it",0,"none","It41"
15,6,1,"it","it",0,"none","Sw7"
15,7,1,"it","it",0,"none","It32"
15,8,1,"it","it",0,"none","Sw43"
84,1,1,"it","it",0,"none","It24"
84,2,1,"it","it",0,"none","It32"
84,3,1,"it","it",0,"none","Sw43"
84,4,1,"it","it",0,"none","Sw11"
84,5,1,"it","it",0,"none","It15"
84,6,1,"it","it",0,"none","Sw7"
84,7,1,"it","it",0,"none","Sw47"
84,8,1,"it","it",0,"none","It41"
1,1,1,"it","it",0,"none","It15"
1,2,1,"it","it",0,"none","It32"
1,3,1,"it","it",0,"none","Sw43"
1,4,1,"it","it",0,"none","Sw7"
1,5,1,"it","it",0,"none","Sw11"
1,6,1,"it","it",0,"none","It41"
1,7,1,"it","it",0,"none","It24"
1,8,1,"it","it",0,"none","Sw47"
26,1,1,"it","it",0,"none","Sw47"
26,2,1,"it","it",0,"none","It24"
26,3,1,"it","it",0,"none","Sw43"
26,4,1,"it","it",0,"none","Sw7"
26,5,1,"it","it",0,"none","It15"
26,6,1,"it","it",0,"none","Sw11"
26,7,1,"it","it",0,"none","It41"
26,8,1,"it","it",0,"none","It32"
13,1,1,"it","it",0,"none","Sw11"
13,2,1,"it","it",0,"none","Sw47"
13,3,1,"it","it",0,"none","It15"
13,4,1,"it","it",0,"none","It41"
13,5,1,"it","it",0,"none","Sw7"
13,6,1,"it","it",0,"none","It24"
13,7,1,"it","it",0,"none","Sw43"
13,8,1,"it","it",0,"none","It32"
23,1,1,"it","it",0,"none","Sw47"
23,2,1,"it","it",0,"none","It32"
23,3,1,"it","it",0,"none","It24"
23,4,1,"it","it",0,"none","Sw43"
23,5,1,"it","it",0,"none","Sw7"
23,6,1,"it","it",0,"none","It41"
23,7,1,"it","it",0,"none","It15"
23,8,1,"it","it",0,"none","Sw11"
70,1,2,"it","it",1,"none","Sw11"
70,2,2,"it","it",1,"none","It41"
70,3,2,"it","it",1,"none","Sw47"
70,4,2,"it","it",1,"none","Sw7"
70,5,2,"it","it",1,"none","It24"
70,6,2,"it","it",1,"none","Sw43"
70,7,2,"it","it",1,"none","It32"
70,8,2,"it","it",1,"none","It15"
9,1,2,"it","it",1,"none","Sw47"
9,2,2,"it","it",1,"none","Sw11"
9,3,2,"it","it",1,"none","Sw43"
9,4,2,"it","it",1,"none","Sw7"
9,5,2,"it","it",1,"none","It24"
9,6,2,"it","it",1,"none","It41"
9,7,2,"it","it",1,"none","It32"
9,8,2,"it","it",1,"none","It15"
54,1,2,"it","it",1,"none","Sw47"
54,2,2,"it","it",1,"none","Sw7"
54,3,2,"it","it",1,"none","It15"
54,4,2,"it","it",1,"none","It41"
54,5,2,"it","it",1,"none","It32"
54,6,2,"it","it",1,"none","It24"
54,7,2,"it","it",1,"none","Sw11"
54,8,2,"it","it",1,"none","Sw43"
6,1,2,"it","it",1,"none","It15"
6,2,2,"it","it",1,"none","Sw7"
6,3,2,"it","it",1,"none","Sw11"
6,4,2,"it","it",1,"none","It41"
6,5,2,"it","it",1,"none","It24"
6,6,2,"it","it",1,"none","Sw47"
6,7,2,"it","it",1,"none","It32"
6,8,2,"it","it",1,"none","Sw43"
12,1,2,"it","it",1,"none","Sw43"
12,2,2,"it","it",1,"none","It41"
12,3,2,"it","it",1,"none","Sw11"
12,4,2,"it","it",1,"none","It32"
12,5,2,"it","it",1,"none","It24"
12,6,2,"it","it",1,"none","Sw7"
12,7,2,"it","it",1,"none","Sw47"
12,8,2,"it","it",1,"none","It15"
8,1,2,"it","it",1,"none","Sw7"
8,2,2,"it","it",1,"none","It15"
8,3,2,"it","it",1,"none","Sw11"
8,4,2,"it","it",1,"none","It32"
8,5,2,"it","it",1,"none","It41"
8,6,2,"it","it",1,"none","It24"
8,7,2,"it","it",1,"none","Sw47"
8,8,2,"it","it",1,"none","Sw43"
69,1,2,"it","it",1,"none","Sw43"
69,2,2,"it","it",1,"none","It41"
69,3,2,"it","it",1,"none","It32"
69,4,2,"it","it",1,"none","It15"
69,5,2,"it","it",1,"none","It24"
69,6,2,"it","it",1,"none","Sw47"
69,7,2,"it","it",1,"none","Sw7"
69,8,2,"it","it",1,"none","Sw11"
88,1,2,"it","it",1,"none","It24"
88,2,2,"it","it",1,"none","Sw43"
88,3,2,"it","it",1,"none","It41"
88,4,2,"it","it",1,"none","Sw11"
88,5,2,"it","it",1,"none","Sw7"
88,6,2,"it","it",1,"none","It15"
88,7,2,"it","it",1,"none","Sw47"
88,8,2,"it","it",1,"none","It32"
11,1,3,"it","it",1,"it","Sw47"
11,2,3,"it","it",1,"it","It32"
11,3,3,"it","it",1,"it","It15"
11,4,3,"it","it",1,"it","Sw11"
11,5,3,"it","it",1,"it","Sw43"
11,6,3,"it","it",1,"it","Sw7"
11,7,3,"it","it",1,"it","It24"
11,8,3,"it","it",1,"it","It41"
76,1,3,"it","it",1,"it","Sw43"
76,2,3,"it","it",1,"it","It32"
76,3,3,"it","it",1,"it","Sw47"
76,4,3,"it","it",1,"it","Sw7"
76,5,3,"it","it",1,"it","It24"
76,6,3,"it","it",1,"it","Sw11"
76,7,3,"it","it",1,"it","It15"
76,8,3,"it","it",1,"it","It41"
41,1,3,"it","it",1,"it","Sw47"
41,2,3,"it","it",1,"it","It15"
41,3,3,"it","it",1,"it","It32"
41,4,3,"it","it",1,"it","It41"
41,5,3,"it","it",1,"it","Sw11"
41,6,3,"it","it",1,"it","Sw7"
41,7,3,"it","it",1,"it","Sw43"
41,8,3,"it","it",1,"it","It24"
37,1,3,"it","it",1,"it","Sw7"
37,2,3,"it","it",1,"it","Sw47"
37,3,3,"it","it",1,"it","Sw43"
37,4,3,"it","it",1,"it","It15"
37,5,3,"it","it",1,"it","It32"
37,6,3,"it","it",1,"it","It41"
37,7,3,"it","it",1,"it","It24"
37,8,3,"it","it",1,"it","Sw11"
48,1,3,"it","it",1,"it","Sw7"
48,2,3,"it","it",1,"it","It15"
48,3,3,"it","it",1,"it","Sw43"
48,4,3,"it","it",1,"it","Sw11"
48,5,3,"it","it",1,"it","It24"
48,6,3,"it","it",1,"it","It32"
48,7,3,"it","it",1,"it","Sw47"
48,8,3,"it","it",1,"it","It41"
51,1,3,"it","it",1,"it","It32"
51,2,3,"it","it",1,"it","It41"
51,3,3,"it","it",1,"it","Sw7"
51,4,3,"it","it",1,"it","Sw47"
51,5,3,"it","it",1,"it","Sw43"
51,6,3,"it","it",1,"it","Sw11"
51,7,3,"it","it",1,"it","It24"
51,8,3,"it","it",1,"it","It15"
59,1,3,"it","it",1,"it","Sw7"
59,2,3,"it","it",1,"it","It32"
59,3,3,"it","it",1,"it","It24"
59,4,3,"it","it",1,"it","Sw47"
59,5,3,"it","it",1,"it","It41"
59,6,3,"it","it",1,"it","Sw11"
59,7,3,"it","it",1,"it","Sw43"
59,8,3,"it","it",1,"it","It15"
17,1,3,"it","it",1,"it","It41"
17,2,3,"it","it",1,"it","Sw47"
17,3,3,"it","it",1,"it","It24"
17,4,3,"it","it",1,"it","It15"
17,5,3,"it","it",1,"it","Sw43"
17,6,3,"it","it",1,"it","Sw7"
17,7,3,"it","it",1,"it","Sw11"
17,8,3,"it","it",1,"it","It32"
30,1,4,"it","it",1,"sw","Sw7"
30,2,4,"it","it",1,"sw","It41"
30,3,4,"it","it",1,"sw","It15"
30,4,4,"it","it",1,"sw","Sw43"
30,5,4,"it","it",1,"sw","Sw47"
30,6,4,"it","it",1,"sw","It32"
30,7,4,"it","it",1,"sw","It24"
30,8,4,"it","it",1,"sw","Sw11"
16,1,4,"it","it",1,"sw","It15"
16,2,4,"it","it",1,"sw","Sw43"
16,3,4,"it","it",1,"sw","Sw11"
16,4,4,"it","it",1,"sw","Sw47"
16,5,4,"it","it",1,"sw","Sw7"
16,6,4,"it","it",1,"sw","It41"
16,7,4,"it","it",1,"sw","It32"
16,8,4,"it","it",1,"sw","It24"
45,1,4,"it","it",1,"sw","Sw7"
45,2,4,"it","it",1,"sw","It24"
45,3,4,"it","it",1,"sw","Sw47"
45,4,4,"it","it",1,"sw","Sw11"
45,5,4,"it","it",1,"sw","It41"
45,6,4,"it","it",1,"sw","It15"
45,7,4,"it","it",1,"sw","Sw43"
45,8,4,"it","it",1,"sw","It32"
